uged 86400 IN CNAME homepage
uu245-25 86400 IN A 193.140.245.25
yayinara 86400 IN A 193.140.245.23
devrimtarihi 86400 IN CNAME homepage
uykubozuklugu 86400 IN CNAME homepage
connect 86400 IN A 193.140.245.24
stuweb 86400 IN A 193.140.245.77
uu245-30 86400 IN A 193.140.245.30
tibbio 86400 IN CNAME homepage
uu245-36 86400 IN A 193.140.245.36
sbmyo001 86400 IN CNAME homepage
euproffice 86400 IN CNAME homepage
metem 86400 IN CNAME homepage
intoffice 86400 IN CNAME homepage
uu245-32 86400 IN A 193.140.245.32
erasmus 86400 IN A 194.27.120.21
uu245-33 86400 IN A 193.140.245.33
genelcerrahi 86400 IN CNAME homepage
gemini4 86400 IN A 193.140.245.4
inif 86400 IN A 94.73.147.229
uu245-34 86400 IN A 193.140.245.34
bursa2011 86400 IN CNAME homepage
mail2 86400 IN MX 20 mail2
mail2 86400 IN A 193.140.245.223
pedgastro 86400 IN CNAME homepage
personeldb 86400 IN A 194.27.120.21
dersmatik 86400 IN A 193.140.245.23
vpn3cyb 86400 IN A 194.27.115.61
uu245-223 86400 IN A 193.140.245.223
aile-hekimligi 86400 IN CNAME homepage
aruba-master 86400 IN A 194.27.124.62
uhavk 86400 IN CNAME homepage
ulrad 86400 IN A 194.27.119.2
posta 86400 IN CNAME ghs.googlehosted.com.
uu245-40 86400 IN A 193.140.245.40
ilcin 86400 IN CNAME homepage
fltmovieproject 86400 IN CNAME homepage
etikkurul 86400 IN CNAME homepage
edsoy 86400 IN CNAME homepage
edincsoy 86400 IN CNAME homepage
pakturk2012 86400 IN CNAME homepage
uu245-42 86400 IN A 193.140.245.42
mmfdergi 86400 IN A 193.140.98.172
sualtigunleri 86400 IN A 193.140.245.7
radtv 86400 IN CNAME homepage
tarama 86400 IN A 193.140.245.220
uu245-205 86400 IN A 193.140.245.205
bedenegitimi 86400 IN CNAME homepage
aegee 86400 IN CNAME homepage
ulutekcip 86400 IN CNAME homepage
demovpn 86400 IN A 194.27.115.61
nucl 86400 IN CNAME homepage
sorubankasi 86400 IN A 172.20.2.13
uu245-47 86400 IN A 193.140.245.47
bordro 86400 IN A 193.140.245.2
uze 86400 IN CNAME homepage
uu245-49 86400 IN A 193.140.245.49
kullanicigirisi 86400 IN A 193.140.245.94
uu245-196 86400 IN A 193.140.245.196
isletmeler 86400 IN CNAME homepage
eduroam 86400 IN A 193.140.245.12
ortopedi-travma 86400 IN CNAME homepage
maliyetpl 86400 IN CNAME homepage
baum 86400 IN CNAME homepage
vcenter2 86400 IN A 172.20.1.218
ogris 86400 IN CNAME homepage
psikiyatri 86400 IN CNAME homepage
noroloji 86400 IN CNAME homepage
uyats 86400 IN A 193.140.245.23
uu245-56 86400 IN A 193.140.245.56
uu245-207 86400 IN A 193.140.245.207
ulsat 86400 IN CNAME homepage
tezkayit 86400 IN CNAME homepage
uu245-254 86400 IN A 193.140.245.254
tarihtoplulugu 86400 IN CNAME homepage
uu245-37 86400 IN A 193.140.245.37
uu245-60 86400 IN A 193.140.245.60
crsm 86400 IN CNAME homepage
uu245-61 86400 IN A 193.140.245.61
mobilogr 86400 IN A 194.27.120.143
biyosistem 86400 IN CNAME homepage
uu245-62 86400 IN A 193.140.245.62
iibfdergi 86400 IN CNAME homepage
uu245-73 86400 IN A 193.140.245.73
atabolum 86400 IN CNAME homepage
uudsim 86400 IN CNAME homepage
takvim.ogr 86400 IN CNAME ghs.googlehosted.com.
ozelkalem 86400 IN CNAME homepage
idariisler 86400 IN CNAME homepage
gogus-hast-tuberkuloz 86400 IN CNAME homepage
icjms20 86400 IN CNAME homepage
uu245-199 86400 IN A 193.140.245.199
edsoy1 86400 IN CNAME homepage
dogalyasam 86400 IN CNAME homepage
acs 86400 IN A 193.140.245.130
anatomi 86400 IN CNAME homepage
ilcine 86400 IN CNAME homepage
uu245-70 86400 IN A 193.140.245.70
ads 86400 IN CNAME homepage
yayinlar 86400 IN A 193.140.245.23
hayalkampusu 86400 IN A 193.140.245.7
uu245-72 86400 IN A 193.140.245.72
udos2 86400 IN A 193.140.245.232
uu245-144 86400 IN A 193.140.245.144
udos4 86400 IN A 194.27.120.134
ankettip 86400 IN CNAME homepage
rapormerkezi 86400 IN A 194.27.120.21
koyprojesi 86400 IN CNAME homepage
ubiat 86400 IN CNAME homepage
uu245-75 86400 IN A 193.140.245.75
homepage 86400 IN A 193.140.245.7
m.ogrotomasyon 86400 IN A 194.27.120.143
suam-kalite.intranet 86400 IN A 172.20.0.2
uu245-76 86400 IN A 193.140.245.76
burakt 86400 IN CNAME homepage
upas 86400 IN CNAME homepage
karne 86400 IN A 194.27.120.21
orhaneli 86400 IN CNAME homepage
bebb 86400 IN CNAME homepage
uu245-80 86400 IN A 193.140.245.80
ukam 86400 IN CNAME homepage
ilahiyat 86400 IN CNAME homepage
mimar 86400 IN CNAME homepage
bdb 86400 IN CNAME homepage
uluzem 86400 IN A 193.140.245.77
uu245-209 86400 IN A 193.140.245.209
uu245-83 86400 IN A 193.140.245.83
en.fenbilimleri 86400 IN A 193.140.245.9
webmail2 86400 IN A 193.140.245.235
yazilim 86400 IN A 194.27.120.21
mutfak 86400 IN A 172.16.89.250
bds 86400 IN CNAME homepage
uu245-127 86400 IN A 193.140.245.127
kitaptalebi 86400 IN A 193.140.245.23
uu245-38 86400 IN A 193.140.245.38
uladem 86400 IN CNAME homepage
uluat 86400 IN CNAME homepage
webmail3 86400 IN A 193.140.245.193
webmail4 86400 IN A 194.27.120.135
inegol 86400 IN CNAME homepage
biyoyakit 86400 IN CNAME homepage
pdrt 86400 IN CNAME homepage
sosyalmedya 86400 IN CNAME homepage
uu245-88 86400 IN A 193.140.245.88
ukey 86400 IN A 194.27.120.144
f52makina 86400 IN A 194.27.120.132
fiziksel-tip-rehab 86400 IN CNAME homepage
uu245-12 86400 IN A 193.140.245.12
uu245-214 86400 IN A 193.140.245.214
ssfe 86400 IN A 194.27.115.57
kitap 86400 IN A 194.27.120.21
philosophy3 86400 IN CNAME homepage
ftplocal 86400 IN A 172.20.1.20
bim 86400 IN CNAME homepage
etkinlik 86400 IN A 194.27.120.22
uu245-93 86400 IN A 193.140.245.93
imza-test 86400 IN A 193.140.245.234
davatakip 86400 IN A 193.140.245.23
ukit 86400 IN CNAME homepage
ritkys 86400 IN A 194.27.120.21
tuam 86400 IN CNAME homepage
uu245-95 86400 IN A 193.140.245.95
ekonometri 86400 IN CNAME homepage
uu245-97 86400 IN A 193.140.245.97
tarama1 86400 IN A 193.140.245.219
uu245-139 86400 IN A 193.140.245.139
sosyalbilimler 86400 IN CNAME homepage
uludagracing 86400 IN CNAME homepage
vogs 86400 IN CNAME homepage
cocuk-sagligi-hast 86400 IN CNAME homepage
ums24 86400 IN CNAME homepage
otomuh 86400 IN CNAME homepage
bitkikoruma 86400 IN CNAME homepage
switch 86400 IN A 194.27.120.21
f51ve2ortakmk 86400 IN A 194.27.120.131
bolgekaynak 86400 IN CNAME homepage
maasbilgileri 86400 IN A 193.140.245.23
imza 86400 IN A 193.140.245.234
uzimed 86400 IN CNAME homepage
ediz 86400 IN CNAME homepage
radyoloji 86400 IN CNAME homepage
bse 86400 IN CNAME homepage
console 86400 IN A 193.140.245.126
onur 86400 IN A 193.140.245.7
uu245-132 86400 IN A 193.140.245.132
ulim 86400 IN CNAME homepage
isgu 86400 IN CNAME homepage
ulit 86400 IN CNAME homepage
ogrencitopluluklari 86400 IN CNAME homepage
umat 86400 IN CNAME homepage
architecture 86400 IN CNAME homepage
ddc 86400 IN A 194.27.118.146
lisans2 86400 IN A 193.140.245.213
tbmyokurslar 86400 IN CNAME homepage
kestane2014 86400 IN CNAME homepage
senlik 86400 IN CNAME homepage
peyzajmimarligi 86400 IN CNAME homepage
www.tto 86400 IN CNAME homepage
erdinc 86400 IN CNAME homepage
efad 86400 IN CNAME homepage
xen 86400 IN A 172.19.195.189
integrity 86400 IN A 193.140.245.125
en.egitimbilimleri 86400 IN A 193.140.245.9
meyok 86400 IN CNAME homepage
liste 86400 IN CNAME mail
rit-kys.intranet 86400 IN A 172.20.0.2
kullanici 86400 IN A 193.140.245.23
norosirurji 86400 IN CNAME homepage
mailweb 86400 IN A 193.140.245.190
unat 86400 IN CNAME homepage
fizik 86400 IN CNAME homepage
parola 86400 IN A 193.140.245.22
radius 86400 IN A 193.140.245.130
86400 IN A 193.140.245.192
cp 86400 IN A 172.30.3.112
arizabildirim 86400 IN A 193.140.245.23
dreamspark 86400 IN CNAME homepage
bhycer 86400 IN CNAME homepage
ee 86400 IN CNAME homepage
911 86400 IN CNAME homepage
muzikegt 86400 IN CNAME homepage
mekatronik 86400 IN CNAME homepage
en 86400 IN A 193.140.245.211
fl 86400 IN CNAME homepage
gmb-kys.intranet 86400 IN A 172.20.0.2
uroloji 86400 IN A 193.140.245.9
turkdunyasi 86400 IN CNAME homepage
cebit 86400 IN CNAME homepage
accreditation-med 86400 IN CNAME homepage
fw 86400 IN A 194.27.124.2
keles 86400 IN CNAME homepage
sanattarihi 86400 IN CNAME homepage
uphuk4 86400 IN CNAME homepage
lbg 86400 IN A 194.27.120.22
biyokimya 86400 IN CNAME homepage
kelesmyo 86400 IN CNAME homepage
