rectere 86400 IN CNAME server07
seed-net 86400 IN CNAME server89
cuusv 86400 IN CNAME server07
tkb 86400 IN CNAME server07
sso-test 86400 IN CNAME server89
www.ctct 86400 IN CNAME server07
eo 86400 IN CNAME server07
iro 86400 IN CNAME server89
mail.cse 86400 IN CNAME server.cse
elearning.cse 86400 IN A 221.133.13.107
