@ 86400 IN SOA fhudns postmaster 2015040601 10800 3600 604800 86400
@ 86400 IN MX 10 fhumail-bar
@ 86400 IN NS fhudns
sw13f1 86400 IN A 202.249.233.245
pc5214.ircad2 86400 IN A 202.249.232.164
pc2201 86400 IN A 202.249.232.70
pr5304.ircad3 86400 IN A 202.249.234.64
pop.irc 86400 IN CNAME pc52sv6.irc
pc5412.ircad3 86400 IN A 202.249.234.142
pc5jad1 86400 IN A 202.249.233.7
pc5212.ircad2 86400 IN A 202.249.232.162
pr2101 86400 IN A 202.249.232.79
pc2606 86400 IN A 202.249.232.6
fhlpr01 86400 IN A 202.249.234.226
fhlpr02 86400 IN A 202.249.234.227
fhlpr03 86400 IN A 202.249.234.228
pc5210.ircad2 86400 IN A 202.249.232.160
pc5239.ircad2 86400 IN A 202.249.232.189
pc2613 86400 IN A 202.249.232.11
j-tr01 86400 IN A 202.249.232.102
j-tr02 86400 IN A 202.249.232.103
j-tr03 86400 IN A 202.249.233.192
pc2615 86400 IN A 202.249.232.13
pc2301 86400 IN A 202.249.232.49
pc2302 86400 IN A 202.249.232.50
pc2303 86400 IN A 202.249.232.51
pc2304 86400 IN A 202.249.232.52
pc2305 86400 IN A 202.249.232.53
pc5207.ircad2 86400 IN A 202.249.232.157
pc2307 86400 IN A 202.249.232.55
pc2308 86400 IN A 202.249.232.56
cam25 86400 IN A 202.249.232.123
pc2311 86400 IN A 202.249.232.58
pr5303.ircad3 86400 IN A 202.249.234.63
pc2313 86400 IN A 202.249.232.60
pc2314 86400 IN A 202.249.232.61
pc2315 86400 IN A 202.249.232.62
pc2316 86400 IN A 202.249.232.63
pc2317 86400 IN A 202.249.232.64
pc2318 86400 IN A 202.249.232.65
pc2319 86400 IN A 202.249.232.66
pc5jsv1 86400 IN CNAME st.mi
pc24102 86400 IN A 202.249.232.33
pr2201 86400 IN A 202.249.232.92
pc5205.ircad2 86400 IN A 202.249.232.155
tr4102 86400 IN A 202.249.233.88
lu09cb61 86400 IN A 202.249.233.126
lu09cb62 86400 IN A 202.249.233.253
tr4105 86400 IN A 202.249.233.91
pc52sv2.ircad2 86400 IN A 202.249.232.227
pc5118.ircad2 86400 IN A 202.249.232.148
pr5404.ircad3 86400 IN A 202.249.234.199
pc5203.ircad2 86400 IN A 202.249.232.153
passchg.irc 86400 IN A 202.249.234.122
pc5350.ircad3 86400 IN A 202.249.234.50
pc2401 86400 IN A 202.249.232.82
pr5402.ircad3 86400 IN A 202.249.234.197
pc2403 86400 IN A 202.249.232.35
pc2404 86400 IN A 202.249.232.36
pc2405 86400 IN A 202.249.232.37
pc2406 86400 IN A 202.249.232.38
pc2407 86400 IN A 202.249.232.39
pc2410 86400 IN A 202.249.232.40
pc2411 86400 IN A 202.249.232.41
pc2412 86400 IN A 202.249.232.42
pc2413 86400 IN A 202.249.232.43
pc5448.ircad3 86400 IN A 202.249.234.178
pc2415 86400 IN A 202.249.232.45
pc5201.ircad2 86400 IN A 202.249.232.151
pc2417 86400 IN A 202.249.232.47
pc2418 86400 IN A 202.249.232.48
pc5324.ircad3 86400 IN A 202.249.234.24
pr5302.ircad3 86400 IN A 202.249.234.62
pc5114.ircad2 86400 IN A 202.249.232.144
sw02f2 86400 IN A 202.249.232.115
sw02f3 86400 IN A 202.249.232.116
pc93001.irc 86400 IN A 202.249.234.232
