beta.uihmt 86400 IN CNAME websys
des 86400 IN CNAME websys
beta.microcon 86400 IN CNAME websys
www.mbaoffcampus 86400 IN CNAME websys
uiet 86400 IN A 124.124.110.176
dfs 86400 IN CNAME websys
beta.medicalphysics 86400 IN CNAME websys
english 86400 IN CNAME websys
zoology 86400 IN CNAME websys
setu12 86400 IN CNAME uiet
cpr 86400 IN CNAME websys
accounts 86400 IN CNAME websys
www.ubsadmissions 86400 IN CNAME websys
beta.biotechnology 86400 IN CNAME websys
www.pglaw 86400 IN CNAME websrv
www.usolbed 86400 IN CNAME websys
www.puphyhpc 86400 IN CNAME puphyshpc
dis 86400 IN CNAME websys
purja 86400 IN CNAME websys
ag 86400 IN CNAME websys
ctl 86400 IN CNAME websys
beta.laws 86400 IN CNAME websys
purjs 86400 IN CNAME websys
www.economics 86400 IN CNAME websys
biotechnology 86400 IN CNAME websys
bcomadmissions 86400 IN CNAME websys
ietve 86400 IN CNAME websys
gallery 86400 IN CNAME websys
www.masscomm 86400 IN CNAME websys
beta.education 86400 IN CNAME websys
www.polsc 86400 IN CNAME websys
www.chemistry 86400 IN CNAME websys
chascon 86400 IN CNAME websys
cwsd 86400 IN CNAME websys
french 86400 IN CNAME websys
www.gnss 86400 IN CNAME websys
www.purjss 86400 IN CNAME websys
beta.music 86400 IN CNAME websys
beta.history 86400 IN CNAME websys
beta.anthropology 86400 IN CNAME websys
anthropology 86400 IN CNAME websys
bbpucc 86400 IN CNAME websys
cc 86400 IN CNAME websys
name 86400 IN A 124.124.110.165
www.directory 86400 IN CNAME websys
ubsalumni 86400 IN CNAME websys
confs 86400 IN CNAME websys
www.libraryscience 86400 IN CNAME websys
beta.russian 86400 IN CNAME websys
beta.socialwork 86400 IN CNAME websys
publicadministration 86400 IN CNAME websys
beta.systembiology 86400 IN CNAME websys
www.jobs 86400 IN CNAME websys
www.publication 86400 IN CNAME websys
erc 86400 IN CNAME websys
medadmissions 86400 IN CNAME websys
systembiology 86400 IN CNAME websys
library 86400 IN CNAME websys
uietcloud 86400 IN CNAME aavishkar12
www.hostels 86400 IN CNAME websys
chancoss 86400 IN CNAME websys
www.uift 86400 IN CNAME websys
www.mbaadmissions 86400 IN CNAME websys
sociology 86400 IN CNAME websys
nced 86400 IN CNAME websys
beta.grdcsss 86400 IN CNAME websys
www.rsic 86400 IN CNAME websys
psychology 86400 IN CNAME websys
puccghs 86400 IN CNAME websys
uiams 86400 IN CNAME websys
beta.humangenome 86400 IN CNAME websys
www.nchgsr 86400 IN CNAME websys
gnss 86400 IN CNAME websys
www.nuclearmedicine 86400 IN CNAME websys
www.pgexam 86400 IN CNAME pgexam
beta.anthro 86400 IN CNAME websys
beta.bgjih 86400 IN CNAME websys
microbio 86400 IN CNAME websys
www.urdu 86400 IN CNAME websys
beta.rti 86400 IN CNAME websys
beta.ambedkarcentre 86400 IN CNAME websys
usoladmissions 86400 IN CNAME websys
cetadmissions 86400 IN CNAME websys
mamta 86400 IN CNAME websys
www.cetpg 86400 IN CNAME websrv
beta.sports 86400 IN CNAME websys
examinations 86400 IN CNAME websys
www.socialwork 86400 IN CNAME websys
localhost 86400 IN A 127.0.0.1
beta.lifelonglearning 86400 IN CNAME websys
computercentre 86400 IN CNAME websys
jobs 86400 IN CNAME websys
beta.mwca 86400 IN CNAME websys
beta.puel 86400 IN CNAME websys
beta.ssgpurc 86400 IN CNAME websys
www.microbialbiotechnology 86400 IN CNAME websys
beta.gandhianstudies 86400 IN CNAME websys
medicalphysics 86400 IN CNAME websys
beta.politicalscience 86400 IN CNAME websys
www.centralplacement 86400 IN CNAME websys
beta.dcdc 86400 IN CNAME websys
testmail 86400 IN CNAME websys
iasm 86400 IN CNAME websys
www.chancoss 86400 IN CNAME websys
beta.dentalsciences 86400 IN CNAME websys
beta.sanskrit 86400 IN CNAME websys
administration 86400 IN CNAME websys
www.uil 86400 IN CNAME websys
biochem2012 86400 IN CNAME websys
rsic 86400 IN CNAME websys
www.prc 86400 IN CNAME websys
www.ubs 86400 IN CNAME websys
iea 86400 IN CNAME websys
www.pblawadmissions 86400 IN CNAME websys
forensic 86400 IN CNAME websys
exams 86400 IN CNAME websys
www.physics 86400 IN CNAME physics
beta.geography 86400 IN CNAME websys
websys 86400 IN A 14.139.246.12
86400 IN A 124.124.110.186
www.hiedupb 86400 IN CNAME websys
negp 86400 IN CNAME websys
www.ceds 86400 IN CNAME websys
www.sports 86400 IN CNAME websys
beta.english 86400 IN CNAME websys
beta.zoology 86400 IN CNAME websys
www.usol 86400 IN CNAME websys
www.ccnsw 86400 IN CNAME websys
beta.defencestudies 86400 IN CNAME websys
cdaa 86400 IN CNAME websys
rksingla2 86400 IN CNAME websys
www.psychology 86400 IN CNAME websys
beta.healthcentre 86400 IN CNAME websys
beta.puta 86400 IN CNAME websys
healthcentre 86400 IN CNAME websys
statistics 86400 IN CNAME websys
www.forms 86400 IN CNAME websys
purch 86400 IN CNAME websys
humangenome 86400 IN CNAME websys
www.usoladmissions 86400 IN CNAME websys
german 86400 IN CNAME websys
www.cetbhms 86400 IN CNAME websys
ubs 86400 IN CNAME websys
beta.dcsa 86400 IN CNAME websys
www.biophysics 86400 IN CNAME websys
www.cena 86400 IN CNAME websys
www.iasc 86400 IN CNAME websys
www.scs 86400 IN CNAME websys
beta.ucim 86400 IN CNAME websys
aavishkar12 86400 IN A 124.124.110.178
dentalsciences 86400 IN CNAME websys
beta.alumni 86400 IN CNAME websys
name2 86400 IN A 117.211.87.149
name3 86400 IN A 14.139.246.5
name4 86400 IN A 117.211.87.149
www.punjabi 86400 IN CNAME websys
beta.dcvs 86400 IN CNAME websys
qeee 86400 IN A 124.124.110.175
www.physicaleducation 86400 IN CNAME websys
beta.biochemistry 86400 IN CNAME websys
biochemistry 86400 IN CNAME websys
www.rrc 86400 IN CNAME websys
www.documents 86400 IN CNAME websys
aihca 86400 IN CNAME websys
beta.uils 86400 IN CNAME websys
www.laws 86400 IN CNAME websys
www.ucim 86400 IN CNAME websys
beta.bvsc 86400 IN CNAME websys
www.rti 86400 IN CNAME websys
news 86400 IN CNAME websys
ceds 86400 IN CNAME websys
www.mbaoffcampusadmissions 86400 IN CNAME websys
www.puleetadmissions 86400 IN CNAME websys
usol 86400 IN CNAME websys
cpc 86400 IN CNAME websys
www.ugexam 86400 IN CNAME pgexam
systemsbiology 86400 IN CNAME websys
beta.csseip 86400 IN CNAME websys
mbaoffcampus 86400 IN CNAME websys
beta.psychology 86400 IN CNAME websys
finearts 86400 IN CNAME websys
websrv 86400 IN A 14.139.246.2
86400 IN A 124.124.110.188
beta.library 86400 IN CNAME websys
beta.policeadministration 86400 IN CNAME websys
tankeshwar 86400 IN CNAME websys
admissions 86400 IN CNAME websys
cena 86400 IN CNAME websys
iasc 86400 IN CNAME websys
beta.biophysics 86400 IN CNAME websys
www.publichealth 86400 IN CNAME websys
chascon-2014 86400 IN CNAME websys
beta.ubs 86400 IN CNAME websys
vvbisis 86400 IN CNAME websys
centralplacement 86400 IN CNAME websys
ssgpurch 86400 IN CNAME websys
chasscon 86400 IN CNAME websys
mbausol 86400 IN CNAME websys
geology 86400 IN CNAME websys
www.stats 86400 IN CNAME websys
tenders 86400 IN CNAME websys
thatadmissions 86400 IN CNAME websys
avsar 86400 IN CNAME websys
education 86400 IN CNAME websys
physics 86400 IN A 124.124.110.182
beta.physicaleducation 86400 IN CNAME websys
libsc 86400 IN CNAME websys
usolbed 86400 IN CNAME websys
www.purch 86400 IN CNAME websys
www.purcl 86400 IN CNAME websys
www.purcm 86400 IN CNAME websys
www.cias 86400 IN CNAME websys
www.ocetadmissions 86400 IN CNAME websys
beta.humanrights 86400 IN CNAME websys
beta.des 86400 IN CNAME websys
www.testweb 86400 IN CNAME websrv
sanskrit 86400 IN CNAME websys
punet 86400 IN CNAME websys
beta.scs 86400 IN CNAME websys
www.finearts 86400 IN CNAME websys
plexi 86400 IN CNAME websrv
maths 86400 IN CNAME websys
www.microcon2015 86400 IN CNAME websys
defencestudies 86400 IN CNAME websys
www.purja 86400 IN CNAME websys
beta.ahva 86400 IN CNAME websys
nbauiet 86400 IN A 124.124.110.179
www.cetbds 86400 IN CNAME websys
campusstudent 86400 IN CNAME websys
www.purjs 86400 IN CNAME websys
ias2013 86400 IN CNAME websys
beta.ciipp 86400 IN CNAME websys
www.ietve 86400 IN CNAME websys
www.ssgpurch 86400 IN CNAME websys
uihmt 86400 IN CNAME websys
www.mamee2013 86400 IN CNAME websys
icap2012 86400 IN CNAME websys
ami2011 86400 IN CNAME websys
tpcuiet 86400 IN CNAME uiet
beta.genome 86400 IN CNAME websys
chinese-tibetan 86400 IN CNAME websys
botany 86400 IN CNAME websys
puccs 86400 IN CNAME websys
laws 86400 IN CNAME websys
updates 86400 IN CNAME websys
economics 86400 IN CNAME websys
www.uwp 86400 IN CNAME uwp
www.policeadministration 86400 IN CNAME websys
www.biotechnology 86400 IN CNAME websys
met 86400 IN CNAME websys
www.german 86400 IN CNAME websys
www.humangenome 86400 IN CNAME websys
socialwork 86400 IN CNAME websys
uihtm 86400 IN CNAME websys
cias 86400 IN CNAME websys
thattest 86400 IN CNAME websys
myphp2 86400 IN A 124.124.110.186
hostels 86400 IN CNAME websys
cetbds 86400 IN CNAME websys
www.evenedu 86400 IN CNAME websys
www.sanskrit 86400 IN CNAME websys
beta.publicadministration 86400 IN CNAME websys
pharma 86400 IN CNAME websys
beta.sociology 86400 IN CNAME websys
www.ifsc 86400 IN CNAME websys
www.microbio 86400 IN CNAME websys
results 86400 IN A 14.139.246.10
onlinefee 86400 IN A 124.124.110.169
music 86400 IN CNAME websys
beta.libraryscience 86400 IN CNAME websys
directory 86400 IN CNAME websys
mysqladmin 86400 IN CNAME websrv
biocamp 86400 IN CNAME websys
old 86400 IN CNAME websrv
www.senatesyndicate 86400 IN CNAME websys
phdadmissions 86400 IN CNAME websys
www.puel 86400 IN CNAME websys
beta.stemcell 86400 IN CNAME websys
humanrights 86400 IN CNAME websys
beta.uiet 86400 IN CNAME websys
www.uiams 86400 IN CNAME websys
www.dcdc 86400 IN CNAME uiet
beta.uift 86400 IN CNAME websys
alumniportal 86400 IN A 124.124.110.185
beta.sbfc 86400 IN CNAME websys
beta.forms 86400 IN CNAME websys
beta.uil 86400 IN CNAME websys
onlinejobs 86400 IN CNAME pgexam
www.medadmissions 86400 IN CNAME websys
www.systembiology 86400 IN CNAME websys
www.philosophy 86400 IN CNAME websys
rrsahni150 86400 IN CNAME websys
www.results 86400 IN CNAME results
www.hrdc 86400 IN CNAME websrv
www.microbiology 86400 IN CNAME websys
beta.nuclearmedicine 86400 IN CNAME websys
officetest 86400 IN CNAME websys
puthat 86400 IN CNAME websys
www.bcomadmissions 86400 IN CNAME websys
www.dcsa 86400 IN CNAME websys
beta.prc 86400 IN CNAME websys
ifsc 86400 IN CNAME websys
beta.centralplacement 86400 IN CNAME websys
www.uicet 86400 IN CNAME websys
dialog 86400 IN CNAME websys
beta.vvbisis 86400 IN CNAME websys
www.cetadmissions 86400 IN CNAME websys
beta.uips 86400 IN CNAME websys
beta.indiantheatre 86400 IN CNAME websys
www.anthropology 86400 IN CNAME websys
www.ieee-uiet 86400 IN CNAME uiet
beta.geology 86400 IN CNAME websys
www.geography 86400 IN CNAME websys
prc 86400 IN CNAME websys
phyedu 86400 IN CNAME websys
hiedupb 86400 IN CNAME websys
www.history 86400 IN CNAME websys
beta.webadmin 86400 IN CNAME websys
beta.dis 86400 IN CNAME websys
beta.statistics 86400 IN CNAME websys
www.uihtm 86400 IN CNAME websys
www.publicadministration 86400 IN CNAME websys
beta.ctl 86400 IN CNAME websys
indiantheatre 86400 IN CNAME websys
dcdc 86400 IN CNAME uiet
