@ 43200 IN SOA ns1 hostmaster 4120150410 28800 7200 604800 86400
@ 43200 IN MX 10 iron2
43200 IN MX 20 iron1
@ 43200 IN NS ns
43200 IN NS ns1
43200 IN NS sun.uakom.sk.
43200 IN NS decsys.vsb.cz.
s53.rekt 43200 IN A 194.160.39.53
zabbix 43200 IN A 194.160.44.27
m194.rekt 43200 IN A 194.160.39.194
ftp 43200 IN CNAME web2
c176.eduroam 43200 IN A 192.108.133.176
s33.rekt 43200 IN A 194.160.39.33
caks 43200 IN A 194.160.44.39
c29.eduroam 43200 IN A 192.108.133.29
export.preukazy 43200 IN A 194.160.44.126
c245.eduroam 43200 IN A 192.108.133.245
c41.eduroam 43200 IN A 192.108.133.41
m154.rekt 43200 IN A 194.160.39.154
c99.eduroam 43200 IN A 192.108.133.99
m199.rekt 43200 IN A 194.160.39.199
c151.eduroam 43200 IN A 192.108.133.151
m134.rekt 43200 IN A 194.160.39.134
mathematics.fpv 43200 IN CNAME web2
c240.eduroam 43200 IN A 192.108.133.240
m139.rekt 43200 IN A 194.160.39.139
c59.eduroam 43200 IN A 192.108.133.59
elearning.fpvmv 43200 IN CNAME www.fpvmv
c15.eduroam 43200 IN A 192.108.133.15
m179.rekt 43200 IN A 194.160.39.179
c74.eduroam 43200 IN A 192.108.133.74
s5.rekt 43200 IN A 194.160.39.5
iam 43200 IN CNAME idm-public
c125.eduroam 43200 IN A 192.108.133.125
m215.rekt 43200 IN A 194.160.39.215
s31.rekt 43200 IN A 194.160.39.31
s44.rekt 43200 IN A 194.160.39.44
c184.eduroam 43200 IN A 192.108.133.184
www.jedalen 43200 IN CNAME jedalen
s57.rekt 43200 IN A 194.160.39.57
elearn.fpvmv 43200 IN CNAME www.fpvmv
c253.eduroam 43200 IN A 192.108.133.253
www.sportklub 43200 IN CNAME www.fhv
c48.eduroam 43200 IN A 192.108.133.48
c100.eduroam 43200 IN A 192.108.133.100
regis-sp 43200 IN CNAME regis
s126.rekt 43200 IN A 194.160.39.126
m221.rekt 43200 IN A 194.160.39.221
se.grid 43200 IN A 194.160.44.234
c158.eduroam 43200 IN A 192.108.133.158
c139.eduroam 43200 IN A 192.108.133.139
ns-v6 43200 IN AAAA 2001:4118:100:0:45::11
chemia.studenti 43200 IN A 194.160.44.67
c227.eduroam 43200 IN A 192.108.133.227
c23.eduroam 43200 IN A 192.108.133.23
ce.grid 43200 IN A 194.160.44.233
c82.eduroam 43200 IN A 192.108.133.82
m226.rekt 43200 IN A 194.160.39.226
c193.eduroam 43200 IN A 192.108.133.193
mirror.grid 43200 IN A 194.160.44.238
s55.rekt 43200 IN A 194.160.39.55
maple 43200 IN CNAME esf
virtualnadss 43200 IN CNAME staryweb.ef
m222.rekt 43200 IN A 194.160.39.222
c202.eduroam 43200 IN A 192.108.133.202
m250.rekt 43200 IN A 194.160.39.250
math.fpv 43200 IN CNAME web2
konferencia.pdf 43200 IN CNAME www.pdf
c56.eduroam 43200 IN A 192.108.133.56
s98.rekt 43200 IN A 194.160.39.98
c107.eduroam 43200 IN A 192.108.133.107
ezproxy 43200 IN A 194.160.44.122
m232.rekt 43200 IN A 194.160.39.232
s88.rekt 43200 IN A 194.160.39.88
s61.rekt 43200 IN A 194.160.39.61
m220.rekt 43200 IN A 194.160.39.220
m162.rekt 43200 IN A 194.160.39.162
c208.eduroam 43200 IN A 192.108.133.208
sd1-kam 43200 IN A 194.160.44.93
_sipinternaltls._tcp 43200 IN SRV 0 0 5061 lync
m209.rekt 43200 IN A 194.160.39.209
studenti 43200 IN TXT "v=spf1 include:spf.protection.outlook.com -all"
studenti 43200 IN MX 10 studenti-umb-sk.mail.protection.outlook.com.
c235.eduroam 43200 IN A 192.108.133.235
c31.eduroam 43200 IN A 192.108.133.31
m190.rekt 43200 IN A 194.160.39.190
s58.rekt 43200 IN A 194.160.39.58
m237.rekt 43200 IN A 194.160.39.237
c90.eduroam 43200 IN A 192.108.133.90
s66.rekt 43200 IN A 194.160.39.66
