119238 14400 IN A 194.160.119.238
119240 14400 IN A 194.160.119.240
119241 14400 IN A 194.160.119.241
119242 14400 IN A 194.160.119.242
119243 14400 IN A 194.160.119.243
119244 14400 IN A 194.160.119.244
119245 14400 IN A 194.160.119.245
119246 14400 IN A 194.160.119.246
119247 14400 IN A 194.160.119.247
119248 14400 IN A 194.160.119.248
119249 14400 IN A 194.160.119.249
119251 14400 IN A 194.160.119.251
119252 14400 IN A 194.160.119.252
119253 14400 IN A 194.160.119.253
119254 14400 IN A 194.160.119.254
b121-09 14400 IN A 194.160.114.132
c3xsc18a 14400 IN A 194.160.171.197
a621-10 14400 IN A 194.160.113.165
pl02a 14400 IN A 194.160.174.166
c2xsc01a 14400 IN A 194.160.171.130
e203-01 14400 IN A 194.160.160.70
e203-02 14400 IN A 194.160.160.71
e203-03 14400 IN A 194.160.160.72
e203-04 14400 IN A 194.160.160.73
e203-05 14400 IN A 194.160.160.74
e203-06 14400 IN A 194.160.160.75
c2xsc02a 14400 IN A 194.160.171.131
c205-02 14400 IN A 194.160.116.37
e203-09 14400 IN A 194.160.160.78
e203-11 14400 IN A 194.160.160.80
e203-12 14400 IN A 194.160.160.81
e203-13 14400 IN A 194.160.160.82
e203-14 14400 IN A 194.160.160.83
e203-15 14400 IN A 194.160.160.84
e203-16 14400 IN A 194.160.160.85
c2xsc03a 14400 IN A 194.160.171.132
c2xsc03b 14400 IN A 194.160.171.163
e203-19 14400 IN A 194.160.160.88
s1sdls04 14400 IN A 194.160.161.177
autodiscover 14440 IN CNAME wm
tekno 14400 IN A 194.160.169.163
dvorsky 14400 IN A 194.160.173.98
geodrm 14440 IN CNAME wm
c2xsc05a 14400 IN A 194.160.171.134
c2xsc05b 14400 IN A 194.160.171.161
zolo 14400 IN A 194.160.169.99
c205-07 14400 IN A 194.160.116.42
s1sdls07 14400 IN A 194.160.161.180
c2xsc06a 14400 IN A 194.160.171.135
s1sdls08 14400 IN A 194.160.161.181
dst1 14400 IN A 194.160.170.31
c205-10 14400 IN A 194.160.116.45
ap1 14400 IN A 194.160.170.42
ap2 14400 IN A 194.160.170.43
ap3 14400 IN A 194.160.170.28
ap4 14400 IN A 194.160.170.29
vdlpxsp06b 14400 IN A 194.160.168.31
c2xsc08a 14400 IN A 194.160.171.137
SWD-HB-B224-082 14400 IN A 194.160.118.2
c2xsc09a 14400 IN A 194.160.171.138
ilukacik 14400 IN A 194.160.173.13
SWD-HB-B224-083 14400 IN A 194.160.119.2
c2xsc11a 14400 IN A 194.160.171.140
lab-cit 14400 IN A 194.160.169.103
c2xsc12a 14400 IN A 194.160.171.141
test 14400 IN CNAME web
b429-10 14400 IN A 194.160.115.29
s3sdls01 14400 IN A 194.160.161.198
s3sdls02 14400 IN A 194.160.161.199
s3sdls03 14400 IN A 194.160.161.200
c2xsc13a 14400 IN A 194.160.171.142
s3sdls05 14400 IN A 194.160.161.202
s3sdls06 14400 IN A 194.160.161.203
s3sdls07 14400 IN A 194.160.161.204
s3sdls08 14400 IN A 194.160.161.205
d2sdls20 14400 IN A 194.160.161.149
s3sdls11 14400 IN A 194.160.161.208
a404-01 14400 IN A 194.160.113.20
a404-02 14400 IN A 194.160.113.21
a404-03 14400 IN A 194.160.113.22
a404-04 14400 IN A 194.160.113.23
a404-05 14400 IN A 194.160.113.24
a404-06 14400 IN A 194.160.113.25
a404-07 14400 IN A 194.160.113.26
a404-08 14400 IN A 194.160.113.27
a404-10 14400 IN A 194.160.113.29
a404-11 14400 IN A 194.160.113.30
a404-12 14400 IN A 194.160.113.31
c2xsc15a 14400 IN A 194.160.171.144
c2xsc16a 14400 IN A 194.160.171.145
vdl4xs415b 14400 IN A 194.160.168.95
c2xsc17a 14400 IN A 194.160.171.146
c2xsc18a 14400 IN A 194.160.171.147
nbsugar 14400 IN A 194.160.174.171
c2xsc19a 14400 IN A 194.160.171.148
c2xsc19b 14400 IN A 194.160.171.159
c205-30 14400 IN A 194.160.116.65
c2xsc21a 14400 IN A 194.160.171.150
c2xsc22a 14400 IN A 194.160.171.151
c5xsa501a 14400 IN A 194.160.172.141
c5xsa501b 14400 IN A 194.160.172.142
a301-09 14400 IN A 194.160.112.88
b431-01 14400 IN A 194.160.115.32
b431-02 14400 IN A 194.160.115.33
b431-03 14400 IN A 194.160.115.34
b431-04 14400 IN A 194.160.115.35
b431-05 14400 IN A 194.160.115.36
b431-06 14400 IN A 194.160.115.37
b431-07 14400 IN A 194.160.115.38
b431-08 14400 IN A 194.160.115.39
b431-09 14400 IN A 194.160.115.40
b431-11 14400 IN A 194.160.115.42
b431-12 14400 IN A 194.160.115.43
b431-13 14400 IN A 194.160.115.44
b431-14 14400 IN A 194.160.115.45
b431-15 14400 IN A 194.160.115.46
b431-16 14400 IN A 194.160.115.47
b431-17 14400 IN A 194.160.115.48
b431-18 14400 IN A 194.160.115.49
b431-19 14400 IN A 194.160.115.50
b431-21 14400 IN A 194.160.115.52
b431-22 14400 IN A 194.160.115.53
b431-23 14400 IN A 194.160.115.54
b431-24 14400 IN A 194.160.115.55
b431-25 14400 IN A 194.160.115.56
b431-26 14400 IN A 194.160.115.57
b431-27 14400 IN A 194.160.115.58
b431-28 14400 IN A 194.160.115.59
b431-29 14400 IN A 194.160.115.60
b431-31 14400 IN A 194.160.115.62
b431-32 14400 IN A 194.160.115.63
118109 14400 IN A 194.160.118.109
c5xsa505a 14400 IN A 194.160.172.149
c5xsa505b 14400 IN A 194.160.172.150
vdlpxsp10a 14400 IN A 194.160.168.55
dag 14400 IN A 194.160.175.2
c2xsc27a 14400 IN A 194.160.171.156
c5xsa506a 14400 IN A 194.160.172.151
c5xsa506b 14400 IN A 194.160.172.152
krilek 14400 IN A 194.160.174.176
c2xsc28a 14400 IN A 194.160.171.157
tuzvo-szs 14400 IN A 194.160.176.129
c5xsa507a 14400 IN A 194.160.172.153
c5xsa507b 14400 IN A 194.160.172.154
c2xsc29a 14400 IN A 194.160.171.158
c5xsa508a 14400 IN A 194.160.172.155
c5xsa508b 14400 IN A 194.160.172.156
c3xsc19a 14400 IN A 194.160.171.198
gabor115 14400 IN A 194.160.115.13
c5xsa509a 14400 IN A 194.160.172.157
c5xsa509b 14400 IN A 194.160.172.158
e301-01 14400 IN A 194.160.160.114
e301-02 14400 IN A 194.160.160.115
e301-03 14400 IN A 194.160.160.116
e301-04 14400 IN A 194.160.160.117
e301-05 14400 IN A 194.160.160.118
c5xsa511a 14400 IN A 194.160.172.161
c5xsa511b 14400 IN A 194.160.172.162
e301-08 14400 IN A 194.160.160.121
e301-09 14400 IN A 194.160.160.122
e301-11 14400 IN A 194.160.160.124
e301-12 14400 IN A 194.160.160.125
c5xsa512a 14400 IN A 194.160.172.163
c5xsa512b 14400 IN A 194.160.172.164
somora 14400 IN A 194.160.161.50
c5xsa513a 14400 IN A 194.160.172.165
c5xsa513b 14400 IN A 194.160.172.166
b5xsb510a 14400 IN A 194.160.167.112
c5xsa514a 14400 IN A 194.160.172.167
c5xsa514b 14400 IN A 194.160.172.168
b5xsb510b 14400 IN A 194.160.167.113
gabor161 14400 IN A 194.160.161.13
gabor162 14400 IN A 194.160.162.13
gabor164 14400 IN A 194.160.164.13
gabor165 14400 IN A 194.160.165.13
c5xsa515a 14400 IN A 194.160.172.169
c5xsa515b 14400 IN A 194.160.172.170
gabor168 14400 IN A 194.160.168.13
gabor171 14400 IN A 194.160.171.13
c4xsa432b 14400 IN A 194.160.172.83
SWD-FE-E414-021 14400 IN A 194.160.160.23
c5xsa516a 14400 IN A 194.160.172.171
c5xsa516b 14400 IN A 194.160.172.172
technik 14400 IN A 194.160.169.13
c5xsa517a 14400 IN A 194.160.172.173
c5xsa517b 14400 IN A 194.160.172.174
b2xsb220a 14400 IN A 194.160.166.152
