@ 86400 IN SOA dns hostmaster.dns 2015042200 600 7200 604800 3600
@ 86400 IN MX 10 mx0
86400 IN MX 20 dreki
vel-227142 86400 IN A 130.208.227.142
vel-227143 86400 IN A 130.208.227.143
vel-227144 86400 IN A 130.208.227.144
vel-227145 86400 IN A 130.208.227.145
vel-227146 86400 IN A 130.208.227.146
vel-227147 86400 IN A 130.208.227.147
vel-227148 86400 IN A 130.208.227.148
vel-227149 86400 IN A 130.208.227.149
vel-227151 86400 IN A 130.208.227.151
vel-227152 86400 IN A 130.208.227.152
unak-w81-gopro 86400 IN A 130.208.224.22
vel-227154 86400 IN A 130.208.227.154
vel-227155 86400 IN A 130.208.227.155
vel-227156 86400 IN A 130.208.227.156
fjar-210 86400 IN A 130.208.228.210
vel-227158 86400 IN A 130.208.227.158
cisco-borgirt-3h-2 86400 IN A 130.208.224.95
vel-227161 86400 IN A 130.208.227.161
vel-227162 86400 IN A 130.208.227.162
admin 86400 IN A 130.208.224.99
vel-227164 86400 IN A 130.208.227.164
brick 86400 IN A 130.208.224.57
hulk 86400 IN A 130.208.224.98
vel-227167 86400 IN A 130.208.227.167
vel-227168 86400 IN A 130.208.227.168
vel-227169 86400 IN A 130.208.227.169
print-GW 86400 IN A 130.208.228.193
vel-227172 86400 IN A 130.208.227.172
vel-227173 86400 IN A 130.208.227.173
vel-005 86400 IN A 130.208.224.5
vel-227175 86400 IN A 130.208.227.175
skjalaskanni 86400 IN A 130.208.224.149
vel-227177 86400 IN A 130.208.227.177
vel-227178 86400 IN A 130.208.227.178
vel-227179 86400 IN A 130.208.227.179
vel-227181 86400 IN A 130.208.227.181
vel-227182 86400 IN A 130.208.227.182
spdc1 86400 IN A 130.208.228.60
cisco-wcs1 86400 IN A 130.208.224.160
cisco-wcs2 86400 IN A 130.208.224.202
cisco-wcs3 86400 IN A 130.208.224.203
usg 86400 IN A 130.208.224.253
svs-laser 86400 IN A 130.208.224.49
vel-227189 86400 IN A 130.208.227.189
vel-227201 86400 IN A 130.208.227.201
vel-227202 86400 IN A 130.208.227.202
cisco-024 86400 IN A 130.208.224.24
vel-006 86400 IN A 130.208.224.6
vel-227195 86400 IN A 130.208.227.195
vel-227196 86400 IN A 130.208.227.196
cisco-ahus-austur-2 86400 IN A 130.208.224.75
logfraedingur 300 IN CNAME logfraedingur.800.is.
cisco-ahus-austur-4 86400 IN A 130.208.224.71
cisco-srv2 86400 IN A 130.208.224.89
cisco-033 86400 IN A 130.208.224.33
cisco-034 86400 IN A 130.208.224.34
cisco-035 86400 IN A 130.208.224.35
vel-227215 86400 IN A 130.208.227.215
vel-227216 86400 IN A 130.208.227.216
vel-227217 86400 IN A 130.208.227.217
vel-227218 86400 IN A 130.208.227.218
vel-227219 86400 IN A 130.208.227.219
vel-227221 86400 IN A 130.208.227.221
vel-227222 86400 IN A 130.208.227.222
vel-339 86400 IN A 130.208.225.84
vel-227225 86400 IN A 130.208.227.225
fjar-196 86400 IN A 130.208.228.196
vel-227227 86400 IN A 130.208.227.227
vel-227228 86400 IN A 130.208.227.228
vel-227229 86400 IN A 130.208.227.229
vel-227231 86400 IN A 130.208.227.231
vel-227210 86400 IN A 130.208.227.210
dhcp 86400 IN A 130.208.228.67
print-194 86400 IN A 130.208.228.194
print-195 86400 IN A 130.208.228.195
vel-227236 86400 IN A 130.208.227.236
vel-227237 86400 IN A 130.208.227.237
vel-227238 86400 IN A 130.208.227.238
fjar-208 86400 IN A 130.208.228.208
vel-432 86400 IN A 130.208.225.177
resmoodle 300 IN A 130.208.224.239
fjar-209 86400 IN A 130.208.228.209
vel-227100 86400 IN A 130.208.227.100
cisco-069 86400 IN A 130.208.224.69
vel-706 86400 IN A 130.208.226.196
vel-007 86400 IN A 130.208.224.7
vel-760 86400 IN A 130.208.226.250
vel-674 86400 IN A 130.208.226.164
vel-520 86400 IN A 130.208.226.10
vel-227204 86400 IN A 130.208.227.204
vel-660 86400 IN A 130.208.226.150
vel-588 86400 IN A 130.208.226.78
vel-110 86400 IN A 130.208.224.110
cisco-4503 86400 IN A 130.208.224.94
vel-227033 86400 IN A 130.208.227.33
vel-020 86400 IN A 130.208.224.20
fjar-217 86400 IN A 130.208.228.217
virt-004 86400 IN A 130.208.228.14
vel-723 86400 IN A 130.208.226.213
vel-227205 86400 IN A 130.208.227.205
CISCO-LWAPP-CONTROLLER 86400 IN A 130.208.224.77
vel-590 86400 IN A 130.208.226.80
esx3manage 86400 IN A 130.208.224.13
kubbur 86400 IN A 130.208.224.106
torg 86400 IN A 130.208.224.4
isa 86400 IN A 130.208.224.177
heima-matti 86400 IN A 130.208.228.84
vel-227034 86400 IN A 130.208.227.34
vel-428 86400 IN A 130.208.225.173
termwin7 86400 IN A 130.208.228.35
termwin8 86400 IN A 130.208.228.34
vel-445 86400 IN A 130.208.225.190
virt-001 86400 IN A 130.208.228.11
vel-227050 86400 IN A 130.208.227.50
vel-532 86400 IN A 130.208.226.22
ugla 86400 IN A 130.208.165.64
vel-227206 86400 IN A 130.208.227.206
vel-601 86400 IN A 130.208.226.91
vel-422 86400 IN A 130.208.225.167
old3 300 IN A 157.157.147.144
virt-015 86400 IN A 130.208.228.25
heima-rektor2 86400 IN A 130.208.228.88
vel-449 86400 IN A 130.208.225.194
sys 300 IN CNAME spider
vel-430 86400 IN A 130.208.225.175
notendur 300 IN CNAME fs4
vel-600 86400 IN A 130.208.226.90
vel-453 86400 IN A 130.208.225.198
vel-227197 86400 IN A 130.208.227.197
vel-602 86400 IN A 130.208.226.92
vel-454 86400 IN A 130.208.225.199
vel-748 86400 IN A 130.208.226.238
gateway 86400 IN A 130.208.224.1
86400 IN A 130.208.228.1
virt-016 86400 IN A 130.208.228.26
vel-272 86400 IN A 130.208.225.17
vel-431 86400 IN A 130.208.225.176
hafs0 86400 IN A 130.208.228.50
hafs1 86400 IN A 130.208.228.51
hafs2 86400 IN A 130.208.228.52
cisco-sol-fhus 86400 IN A 130.208.224.85
vel-227198 86400 IN A 130.208.227.198
vel-040 86400 IN A 130.208.224.40
vel-603 86400 IN A 130.208.226.93
vel-460 86400 IN A 130.208.225.205
vel-373 86400 IN A 130.208.225.118
vpn 86400 IN A 130.208.224.177
sysl 86400 IN A 130.208.224.141
365 3600 IN CNAME hysing
eduroam 86400 IN A 130.208.224.148
ntop 300 IN CNAME unifi
vel-680 86400 IN A 130.208.226.170
www 30 IN CNAME vefur2
vel-227199 86400 IN A 130.208.227.199
vel-509 86400 IN A 130.208.225.254
vel-300 86400 IN A 130.208.225.45
vel-290 86400 IN A 130.208.225.35
vel-227038 86400 IN A 130.208.227.38
meet 86400 IN A 130.208.224.214
vel-433 86400 IN A 130.208.225.178
_sipfederationtls._tcp 300 IN SRV 0 0 5061 sip
xrd 86400 IN A 130.208.224.236
86400 IN A 130.208.228.73
vel-618 86400 IN A 130.208.226.108
xrf 86400 IN A 130.208.224.237
86400 IN A 130.208.228.74
new16 300 IN CNAME @
dellsanswiss 86400 IN A 130.208.224.196
virt-009 86400 IN A 130.208.228.19
fjar-219 86400 IN A 130.208.228.219
vel-227211 86400 IN A 130.208.227.211
vel-605 86400 IN A 130.208.226.95
hydrogen 300 IN CNAME spider
heima-stefjox 86400 IN A 130.208.228.81
vel-227039 86400 IN A 130.208.227.39
agnot 86400 IN A 130.208.224.103
fjar-249 86400 IN A 130.208.228.249
vel-473 86400 IN A 130.208.225.218
virt-002 86400 IN A 130.208.228.12
vel-263 86400 IN A 130.208.225.8
vel-682 86400 IN A 130.208.226.172
namust 300 IN CNAME spider
vel-227212 86400 IN A 130.208.227.212
vel-606 86400 IN A 130.208.226.96
226-gw 86400 IN A 130.208.226.1
festawifi 86400 IN A 130.208.224.212
fjar-049 86400 IN A 130.208.228.49
vel-227041 86400 IN A 130.208.227.41
www3 300 IN A 157.157.147.144
termubuntu 86400 IN A 130.208.228.36
vel-059 86400 IN A 130.208.224.59
heima-hh 86400 IN A 130.208.228.85
magni 86400 IN A 130.208.224.100
trendmicro 86400 IN A 130.208.224.209
termsuse 86400 IN A 130.208.228.37
cisco-borgir-1h 86400 IN A 130.208.224.83
vel-597 86400 IN A 130.208.226.87
heima-LAUS 86400 IN A 130.208.228.87
moodle 300 IN A 130.208.224.239
cisco-borgir-2h 86400 IN A 130.208.224.80
vel-483 86400 IN A 130.208.225.228
virt-017 86400 IN A 130.208.228.27
solborg-pa 86400 IN A 130.208.224.121
sccm 86400 IN A 130.208.224.53
autodiscover 3600 IN A 130.208.224.170
cisco-borgir-3h 86400 IN A 130.208.224.23
86400 IN A 130.208.224.81
cisco-3550-server 86400 IN A 130.208.224.70
vel-684 86400 IN A 130.208.226.174
vel-486 86400 IN A 130.208.225.231
vel-227214 86400 IN A 130.208.227.214
vel-608 86400 IN A 130.208.226.98
simenntun 300 IN CNAME @
cisco-sol-dhus-2 86400 IN A 130.208.224.72
cisco-borgir-5h 86400 IN A 130.208.224.29
cisco-ibmrack2 86400 IN A 130.208.224.61
sol-bokmidar 86400 IN A 130.208.224.42
cisco-borgir-6h 86400 IN A 130.208.224.96
vel-490 86400 IN A 130.208.225.235
vel-501 86400 IN A 130.208.225.246
cisco-borgir-7h 86400 IN A 130.208.224.86
vel-685 86400 IN A 130.208.226.175
heima-sigrunsv 86400 IN A 130.208.228.83
vel-502 86400 IN A 130.208.225.247
vel-662 86400 IN A 130.208.226.152
vel-227203 86400 IN A 130.208.227.203
vcenter 86400 IN A 130.208.224.3
swyx-ha 86400 IN A 130.208.224.221
cisco-srv1 86400 IN A 130.208.224.88
cisco-Khus2 86400 IN A 130.208.224.157
vel-504 86400 IN A 130.208.225.249
vel-016 86400 IN A 130.208.224.16
virt-000 86400 IN A 130.208.228.10
vel-505 86400 IN A 130.208.225.250
vel-019 86400 IN A 130.208.224.19
vel-353 86400 IN A 130.208.225.98
vel-506 86400 IN A 130.208.225.251
vel-701 86400 IN A 130.208.226.191
vel-686 86400 IN A 130.208.226.176
vel-507 86400 IN A 130.208.225.252
vel-611 86400 IN A 130.208.226.101
vel-400 86400 IN A 130.208.225.145
vel-038 86400 IN A 130.208.224.38
vel-039 86400 IN A 130.208.224.39
vel-043 86400 IN A 130.208.224.43
vel-044 86400 IN A 130.208.224.44
vel-045 86400 IN A 130.208.224.45
vel-046 86400 IN A 130.208.224.46
vel-047 86400 IN A 130.208.224.47
vel-050 86400 IN A 130.208.224.50
