saltarin 38400 IN A 200.16.118.85
revistaion 38400 IN CNAME revistas
UiniredVideoConf 38400 IN A 200.16.119.77
cintrop 38400 IN CNAME ctr02
dircult11 38400 IN A 200.16.118.104
lechuza 38400 IN CNAME aguila
grid 38400 IN CNAME grid.sc3
espatula 38400 IN A 200.16.117.116
cic02 38400 IN CNAME corrosion
revistamedicasuis 38400 IN CNAME revistas
labsti 38400 IN A 200.16.117.25
GracielaGutierrezPRESUP 38400 IN A 200.16.119.92
ezproxy 38400 IN A 200.16.119.97
CamarasVigNutricion 38400 IN A 200.16.119.85
vcAudAEHDcentic 38400 IN A 200.16.118.139
__sip._tls 3600 IN SRV 100 1 443 sipdir.online.lync.com.
200.16.119.98 38400 IN PTR apel
geomaster 38400 IN A 200.16.119.35
ulises.cic 38400 IN A 200.16.119.96
ctr02 38400 IN A 200.16.117.58
labclin 38400 IN A 200.16.118.207
VozUIS-1 38400 IN A 200.16.117.46
wn02 38400 IN A 200.16.119.54
revista-s 38400 IN CNAME revistas
contratacionenlinea 38400 IN A 200.74.129.90
pelicano 38400 IN A 200.16.117.44
cps1 38400 IN A 200.16.119.44
cps2 38400 IN A 200.16.117.96
38400 IN A 200.16.119.45
cps3 38400 IN A 200.16.119.46
cps4 38400 IN A 200.16.119.47
vcAudFundadoresFS 38400 IN A 200.16.118.129
geoservicios 38400 IN CNAME servidorgis
www.sc3 38400 IN A 200.16.117.112
eduroam 38400 IN A 200.16.119.87
ileng72 38400 IN A 200.16.118.103
prea 38400 IN A 200.16.118.15
apel 38400 IN A 200.16.119.98
revistas 38400 IN A 200.16.118.142
dali 38400 IN A 200.16.117.49
vie 38400 IN CNAME revistas
radio 38400 IN CNAME catedralibreuis.cloudapp.net.
centicRenata 38400 IN A 190.15.19.11
lagoproject 38400 IN A 200.16.117.110
wiki.sc3 38400 IN A 200.16.119.112
cps 38400 IN CNAME pinguino
cemos 38400 IN A 200.16.119.78
trabajosocial 38400 IN CNAME calumet18uis.cloudapp.net.
www.empleos 38400 IN A 200.29.145.52
vc.grid 38400 IN A 200.16.117.67
eisi 38400 IN CNAME sistemas
fragata 38400 IN A 200.16.118.19
ead 38400 IN CNAME quelea
tucan 38400 IN A 200.16.118.7
iq09 38400 IN A 200.16.117.45
serceiam 38400 IN A 200.16.119.68
difraccionderayosx 38400 IN A 200.16.117.31
snies 38400 IN A 200.16.118.96
bibliotecaremoto 38400 IN CNAME vpnbib
remoto 38400 IN CNAME vpnuis01
soporte.sc3 38400 IN A 200.16.117.114
grulla 38400 IN A 200.16.117.20
colibri 38400 IN A 200.16.118.5
nagios.sc3 38400 IN A 200.16.117.111
dodo 38400 IN A 200.16.118.11
ftpipv6 38400 IN AAAA 2801:0:280::5
fisicoquimicas 38400 IN CNAME calumet16uis.cloudapp.net.
sitelred 38400 IN A 200.16.118.35
__sipfederationtls._tcp.correo 3600 IN SRV 100 1 5061 sipfed.online.lync.com.
ce 38400 IN A 200.16.118.169
pinguino 38400 IN A 200.16.117.34
pinguino 38400 IN MX 60 ASPMX.L.GOOGLE.com.
tyrano 38400 IN A 200.16.118.3
__sipfederationtls._tcp 3600 IN SRV 100 1 5061 sipfed.online.lync.com.
revistaintegracion 38400 IN CNAME revistas
adfs 38400 IN A 200.16.118.9
bu 38400 IN A 200.16.119.115
abuvilla 38400 IN A 200.16.119.37
ipred 38400 IN A 200.16.118.60
