@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
mac-iannitti2 86400 IN A 140.105.35.128
vpn-placeh3 86400 IN A 140.105.38.130
nb9-19-160 86400 IN A 140.105.19.160
hp83-he-1 86400 IN A 140.105.29.90
hp83-he-2 86400 IN A 140.105.29.70
hp83-he-3 86400 IN A 140.105.29.110
hp83-he-4 86400 IN A 140.105.29.73
hp83-he-5 86400 IN A 140.105.29.85
hp83-he-6 86400 IN A 140.105.29.84
hp83-he-7 86400 IN A 140.105.29.9
hp83-he-8 86400 IN A 140.105.29.89
mac-maffione 86400 IN A 140.105.35.115
virtualPCbenve 86400 IN A 140.105.39.19
vpn-placeh4 86400 IN A 140.105.38.131
hp6-dip-25 86400 IN A 140.105.39.155
nb8-18-101 86400 IN A 140.105.18.101
hp83-lblab-1 86400 IN A 140.105.25.11
hp83-lblab-2 86400 IN A 140.105.25.12
e-dirac-medal 86400 IN CNAME webmail
hp83-lblab-4 86400 IN A 140.105.25.14
hp83-lblab-5 86400 IN A 140.105.25.15
hp83-lblab-6 86400 IN A 140.105.25.16
hp83-lblab-7 86400 IN A 140.105.25.17
hp83-lblab-8 86400 IN A 140.105.25.18
hp6-dip-28 86400 IN A 140.105.39.158
hp6-dip-10 86400 IN A 140.105.39.140
hp6-dip-11 86400 IN A 140.105.39.141
hp6-dip-12 86400 IN A 140.105.39.142
hp6-dip-13 86400 IN A 140.105.39.143
hp6-dip-14 86400 IN A 140.105.39.144
hp6-dip-15 86400 IN A 140.105.39.145
hp6-dip-16 86400 IN A 140.105.39.146
hp6-dip-17 86400 IN A 140.105.39.147
hp6-dip-18 86400 IN A 140.105.39.148
hp6-dip-20 86400 IN A 140.105.39.150
hp6-dip-21 86400 IN A 140.105.39.151
hp6-dip-22 86400 IN A 140.105.39.152
hp6-dip-23 86400 IN A 140.105.39.153
hp6-dip-24 86400 IN A 140.105.39.154
nb8-18-100 86400 IN A 140.105.18.100
hp6-dip-26 86400 IN A 140.105.39.156
nb8-18-102 86400 IN A 140.105.18.102
nb8-18-103 86400 IN A 140.105.18.103
hp6-dip-29 86400 IN A 140.105.39.159
nb8-18-105 86400 IN A 140.105.18.105
nb8-18-106 86400 IN A 140.105.18.106
nb8-18-107 86400 IN A 140.105.18.107
nb8-18-108 86400 IN A 140.105.18.108
nb8-18-110 86400 IN A 140.105.18.110
mac-reception2-agh 86400 IN A 140.105.35.110
nb8-18-112 86400 IN A 140.105.18.112
nb8-18-113 86400 IN A 140.105.18.113
nb8-18-114 86400 IN A 140.105.18.114
nb8-18-115 86400 IN A 140.105.18.115
nb8-18-116 86400 IN A 140.105.18.116
nb8-18-117 86400 IN A 140.105.18.117
nb8-18-118 86400 IN A 140.105.18.118
hp8g1-iqbal 86400 IN A 140.105.35.121
nb8-18-109 86400 IN A 140.105.18.109
nb8-18-122 86400 IN A 140.105.18.122
nb8-18-123 86400 IN A 140.105.18.123
nb8-18-124 86400 IN A 140.105.18.124
nb8-18-125 86400 IN A 140.105.18.125
nb8-18-126 86400 IN A 140.105.18.126
nb8-18-111 86400 IN A 140.105.18.111
nb8-18-128 86400 IN A 140.105.18.128
nb8-18-129 86400 IN A 140.105.18.129
nb8-18-131 86400 IN A 140.105.18.131
nb8-18-132 86400 IN A 140.105.18.132
nb8-18-133 86400 IN A 140.105.18.133
nb8-18-134 86400 IN A 140.105.18.134
nb8-18-135 86400 IN A 140.105.18.135
nb8-18-136 86400 IN A 140.105.18.136
nb8-18-137 86400 IN A 140.105.18.137
nb8-18-138 86400 IN A 140.105.18.138
nb8-18-139 86400 IN A 140.105.18.139
nb8-18-141 86400 IN A 140.105.18.141
nb8-18-142 86400 IN A 140.105.18.142
nb8-18-143 86400 IN A 140.105.18.143
nb8-18-144 86400 IN A 140.105.18.144
nb8-18-145 86400 IN A 140.105.18.145
nb8-18-146 86400 IN A 140.105.18.146
nb8-18-147 86400 IN A 140.105.18.147
nb8-18-148 86400 IN A 140.105.18.148
nb8-18-149 86400 IN A 140.105.18.149
nb8-18-151 86400 IN A 140.105.18.151
nb8-18-152 86400 IN A 140.105.18.152
nb8-18-153 86400 IN A 140.105.18.153
nb8-18-154 86400 IN A 140.105.18.154
nb8-18-155 86400 IN A 140.105.18.155
nb8-18-156 86400 IN A 140.105.18.156
nb8-18-157 86400 IN A 140.105.18.157
nb8-18-158 86400 IN A 140.105.18.158
nb8-18-160 86400 IN A 140.105.18.160
nb8-18-161 86400 IN A 140.105.18.161
nb8-18-162 86400 IN A 140.105.18.162
nb8-18-163 86400 IN A 140.105.18.163
nb8-18-164 86400 IN A 140.105.18.164
nb8-18-165 86400 IN A 140.105.18.165
nb8-18-166 86400 IN A 140.105.18.166
nb8-18-167 86400 IN A 140.105.18.167
nb8-18-168 86400 IN A 140.105.18.168
nb8-18-169 86400 IN A 140.105.18.169
nb8-18-171 86400 IN A 140.105.18.171
nb8-18-172 86400 IN A 140.105.18.172
nb8-18-173 86400 IN A 140.105.18.173
nb8-18-174 86400 IN A 140.105.18.174
mac-sineri 86400 IN A 140.105.35.65
nb8-18-176 86400 IN A 140.105.18.176
nb8-18-177 86400 IN A 140.105.18.177
nb8-18-178 86400 IN A 140.105.18.178
nb8-18-180 86400 IN A 140.105.18.180
nb8-18-119 86400 IN A 140.105.18.119
nb8-18-182 86400 IN A 140.105.18.182
nb8-18-183 86400 IN A 140.105.18.183
nb8-18-184 86400 IN A 140.105.18.184
nb8-18-185 86400 IN A 140.105.18.185
nb8-18-186 86400 IN A 140.105.18.186
nb8-18-187 86400 IN A 140.105.18.187
nb8-18-188 86400 IN A 140.105.18.188
nb8-18-200 86400 IN A 140.105.18.200
nb8-18-201 86400 IN A 140.105.18.201
nb8-18-202 86400 IN A 140.105.18.202
nb8-18-193 86400 IN A 140.105.18.193
nb8-18-204 86400 IN A 140.105.18.204
nb8-18-195 86400 IN A 140.105.18.195
nb8-18-206 86400 IN A 140.105.18.206
nb8-18-207 86400 IN A 140.105.18.207
nb8-18-208 86400 IN A 140.105.18.208
nb8-18-209 86400 IN A 140.105.18.209
nb8-18-211 86400 IN A 140.105.18.211
nb8-18-212 86400 IN A 140.105.18.212
nb8-18-213 86400 IN A 140.105.18.213
nb8-18-214 86400 IN A 140.105.18.214
nb8-18-215 86400 IN A 140.105.18.215
nb8-18-216 86400 IN A 140.105.18.216
nb8-18-217 86400 IN A 140.105.18.217
nb8-18-218 86400 IN A 140.105.18.218
nb8-18-220 86400 IN A 140.105.18.220
nb8-18-221 86400 IN A 140.105.18.221
nb8-18-222 86400 IN A 140.105.18.222
hp6-assoc-1 86400 IN A 140.105.27.6
nb8-18-224 86400 IN A 140.105.18.224
hp6-assoc-3 86400 IN A 140.105.27.8
hp6-assoc-4 86400 IN A 140.105.27.75
hp6-assoc-5 86400 IN A 140.105.27.18
nb8-18-228 86400 IN A 140.105.18.228
nb8-18-229 86400 IN A 140.105.18.229
hp6-assoc-8 86400 IN A 140.105.27.12
nb8-18-232 86400 IN A 140.105.18.232
nb8-18-233 86400 IN A 140.105.18.233
nb8-18-234 86400 IN A 140.105.18.234
nb8-18-235 86400 IN A 140.105.18.235
nb8-18-236 86400 IN A 140.105.18.236
nb8-18-127 86400 IN A 140.105.18.127
nb8-18-238 86400 IN A 140.105.18.238
nb8-18-239 86400 IN A 140.105.18.239
nb8-18-241 86400 IN A 140.105.18.241
nb8-18-242 86400 IN A 140.105.18.242
nb8-18-243 86400 IN A 140.105.18.243
nb8-18-244 86400 IN A 140.105.18.244
nb8-18-245 86400 IN A 140.105.18.245
nb8-18-246 86400 IN A 140.105.18.246
nb8-18-247 86400 IN A 140.105.18.247
nb8-18-248 86400 IN A 140.105.18.248
nb8-18-249 86400 IN A 140.105.18.249
nb8-18-251 86400 IN A 140.105.18.251
mac-depol 86400 IN A 140.105.22.7
vpnlib2-rapetti 86400 IN A 140.105.40.137
testpc-1 86400 IN A 140.105.18.13
nb8-18-104 86400 IN A 140.105.18.104
twas 86400 IN CNAME twas-sv
etutor 86400 IN CNAME elearning
almerasvr 86400 IN A 140.105.25.50
scs-sv12 86400 IN A 140.105.26.101
nb8-18-140 86400 IN A 140.105.18.140
nb-seif1 86400 IN A 140.105.29.98
pc-dvd1 86400 IN A 140.105.35.133
it-project 86400 IN CNAME webmail
hp6-beltram 86400 IN A 140.105.38.5
streaming10 86400 IN A 140.105.16.161
airport-dabholkar 86400 IN A 140.105.29.21
mac-ratosa 86400 IN A 140.105.39.5
pb-tuniz 86400 IN A 140.105.17.196
e-portal 86400 IN CNAME webmail
clima-dods 86400 IN A 140.105.16.180
nb8-18-150 86400 IN A 140.105.18.150
mlab-101-1 86400 IN A 140.105.17.215
mlab-101-2 86400 IN A 140.105.17.212
mlab-101-3 86400 IN A 140.105.17.211
mlab-101-4 86400 IN A 140.105.17.209
hp6-ef101-1 86400 IN A 140.105.35.114
dell-1 86400 IN CNAME wm
pc-secure 86400 IN A 140.105.35.72
hp8g1-lbdir-1 86400 IN A 140.105.19.237
hp8g1-lbdir-2 86400 IN A 140.105.19.238
hp8g1-lbdir-3 86400 IN A 140.105.19.239
mac-derni 86400 IN A 140.105.22.28
nb8-18-159 86400 IN A 140.105.18.159
hp81-lb-reg-p 86400 IN A 140.105.30.234
sv3 86400 IN A 140.105.16.150
mlab-102-1 86400 IN A 140.105.17.214
susy-2013 86400 IN CNAME susy2013
clp4-2 86400 IN A 140.105.29.220
clp4-3 86400 IN A 140.105.29.221
clp4-4 86400 IN A 140.105.29.222
clp4-5 86400 IN A 140.105.32.45
clp4-6 86400 IN A 140.105.29.224
clp4-7 86400 IN A 140.105.29.225
clp4-8 86400 IN A 140.105.29.226
clp4-9 86400 IN A 140.105.29.227
private-33-34 86400 IN A 140.105.33.34
private-33-35 86400 IN A 140.105.33.35
private-33-36 86400 IN A 140.105.33.36
e-tril 86400 IN CNAME webmail
private-33-38 86400 IN A 140.105.33.38
private-33-39 86400 IN A 140.105.33.39
private-33-41 86400 IN A 140.105.33.41
private-33-42 86400 IN A 140.105.33.42
private-33-43 86400 IN A 140.105.33.43
nb8-18-170 86400 IN A 140.105.18.170
private-33-45 86400 IN A 140.105.33.45
private-33-46 86400 IN A 140.105.33.46
private-33-47 86400 IN A 140.105.33.47
private-33-48 86400 IN A 140.105.33.48
private-33-50 86400 IN A 140.105.33.50
portal2 86400 IN CNAME webmail
hp83-math-29 86400 IN A 140.105.30.93
mac-filippini 86400 IN A 140.105.22.3
netapp-6080-a 86400 IN CNAME netapp-6080-hpc-a
vpn-placeh1 86400 IN A 140.105.38.128
hp83-clima-20 86400 IN A 140.105.29.242
nb8-18-175 86400 IN A 140.105.18.175
vpn-mkiselev 86400 IN A 140.105.27.11
airport-ef-218 86400 IN A 140.105.39.82
amd64-10 86400 IN A 140.105.32.74
amd64-11 86400 IN A 140.105.32.75
klh-reg1-48 86400 IN A 140.105.30.249
amd64-13 86400 IN A 140.105.32.77
amd64-17 86400 IN A 140.105.32.82
amd64-18 86400 IN A 140.105.32.83
vpn-placeh5 86400 IN A 140.105.38.132
nb8-18-179 86400 IN A 140.105.18.179
nb8-18-181 86400 IN A 140.105.18.181
twas-catalyst 86400 IN A 140.105.16.148
vpn-alonso 86400 IN A 140.105.37.63
pb-arezzo 86400 IN A 140.105.30.9
hp6-storage 86400 IN A 140.105.38.36
mac-serra 86400 IN A 140.105.38.25
buildbot 86400 IN CNAME gforge
netscreen-unesco 86400 IN A 140.105.47.10
pcfs1 86400 IN A 140.105.16.200
ict4d-gu0 86400 IN A 140.105.26.236
ict4d-gu1 86400 IN A 140.105.26.237
nb8-18-190 86400 IN A 140.105.18.190
nb8-18-191 86400 IN A 140.105.18.191
nb8-18-192 86400 IN A 140.105.18.192
nb8-18-203 86400 IN A 140.105.18.203
signage-lb-bar 86400 IN A 140.105.19.171
rt3-test 86400 IN CNAME testbed
infopoint 86400 IN CNAME webmail
nb8-18-194 86400 IN A 140.105.18.194
nb8-18-205 86400 IN A 140.105.18.205
nb8-18-196 86400 IN A 140.105.18.196
hp83-lib-10 86400 IN A 140.105.40.36
hp83-lib-11 86400 IN A 140.105.40.37
hp83-lib-12 86400 IN A 140.105.40.38
hp83-lib-13 86400 IN A 140.105.40.40
nb8-18-197 86400 IN A 140.105.18.197
nb8-18-198 86400 IN A 140.105.18.198
nb8-18-199 86400 IN A 140.105.18.199
signage-lb-entr-2 86400 IN TXT "v=spf1 ip4:140.105.16.91 -all"
signage-lb-entr-2 86400 IN A 140.105.19.170
mac-baschiera 86400 IN A 140.105.35.10
avogadro 86400 IN A 140.105.28.91
mac-agbedjro2 86400 IN A 140.105.22.6
nb8-18-219 86400 IN A 140.105.18.219
nb8-18-223 86400 IN A 140.105.18.223
hp6-he-1 86400 IN A 140.105.29.93
hp6-he-2 86400 IN A 140.105.29.94
hp6-he-3 86400 IN A 140.105.29.91
hp6-he-4 86400 IN A 140.105.29.67
hp6-he-5 86400 IN A 140.105.29.95
hp6-assoc-2 86400 IN A 140.105.27.3
hp6-he-7 86400 IN A 140.105.29.10
hp6-he-8 86400 IN A 140.105.29.76
hp6-he-9 86400 IN A 140.105.29.17
nb8-18-225 86400 IN A 140.105.18.225
vm1-alvise 86400 IN A 140.105.26.72
nb8-18-226 86400 IN A 140.105.18.226
icts-enrico 86400 IN A 140.105.39.49
mac-kranjec 86400 IN CNAME mac-fondazione1
nb8-18-227 86400 IN A 140.105.18.227
mac-bnava 86400 IN A 140.105.26.222
mac-printing2 86400 IN A 140.105.35.68
nb8-18-2 86400 IN A 140.105.18.2
mac-lempinen 86400 IN A 140.105.38.29
nb8-18-4 86400 IN A 140.105.18.4
nb8-18-5 86400 IN A 140.105.18.5
hp6-assoc-7 86400 IN A 140.105.27.14
nb8-18-7 86400 IN A 140.105.18.7
nb8-18-8 86400 IN A 140.105.18.8
nb8-18-9 86400 IN A 140.105.18.9
nb8-18-231 86400 IN A 140.105.18.231
hp6-assoc-9 86400 IN A 140.105.27.10
pc-carisef 86400 IN A 140.105.38.30
icts-docu 86400 IN CNAME webmail
nb8-18-237 86400 IN A 140.105.18.237
acs-lloyd 86400 IN A 140.105.16.162
mathtouchscreen 86400 IN CNAME webmail
nb8-18-240 86400 IN A 140.105.18.240
mac-maroth2 86400 IN A 140.105.35.105
nb-vip 86400 IN A 140.105.30.247
nb-usi 86400 IN A 140.105.26.50
nb8-18-250 86400 IN A 140.105.18.250
mac-bortolotto 86400 IN A 140.105.35.99
mac-baculatest2 86400 IN A 140.105.39.40
pc-stefani 86400 IN A 140.105.26.26
vpn-rgebauer 86400 IN A 140.105.27.8
helpdesk 86400 IN CNAME webmail
hp83-ekl-10 86400 IN A 140.105.24.210
hp83-ekl-11 86400 IN A 140.105.24.211
hp83-ekl-12 86400 IN A 140.105.24.212
hp83-ekl-13 86400 IN A 140.105.24.213
hp83-ekl-14 86400 IN A 140.105.24.214
hp83-ekl-15 86400 IN A 140.105.24.215
hp83-ekl-16 86400 IN A 140.105.24.216
hp83-ekl-17 86400 IN A 140.105.24.217
hp83-ekl-18 86400 IN A 140.105.24.218
hp83-ekl-19 86400 IN A 140.105.24.219
hp83-ekl-21 86400 IN A 140.105.24.221
hp83-ekl-22 86400 IN A 140.105.24.222
hp83-ekl-23 86400 IN A 140.105.24.223
hp83-ekl-24 86400 IN A 140.105.24.224
hp83-ekl-25 86400 IN A 140.105.24.225
mac-ictscons 86400 IN A 140.105.39.18
mac-recover 86400 IN A 140.105.29.138
ex-pc-printing 86400 IN CNAME pc-co2
lamp 86400 IN A 140.105.16.144
mac-bubola 86400 IN CNAME mac-fondazione3
pc-analysis 86400 IN A 140.105.22.20
emed1 86400 IN A 140.105.43.155
pb-gebauer 86400 IN A 140.105.27.142
mac-photiou 86400 IN A 140.105.35.22
mac-gatti 86400 IN A 140.105.38.174
amd64-clima100 86400 IN A 140.105.32.48
mac-cappella 86400 IN A 140.105.35.12
pb-scandolo 86400 IN A 140.105.27.148
mac-fondazione1 86400 IN A 140.105.17.2
mac-fondazione2 86400 IN A 140.105.17.3
mac-fondazione3 86400 IN A 140.105.17.4
mac-fondazione4 86400 IN A 140.105.17.5
pc-co1 86400 IN A 140.105.16.17
pc-co2 86400 IN A 140.105.16.18
pc-co3 86400 IN A 140.105.16.19
diploma 86400 IN CNAME webmail
wl-1 86400 IN A 140.105.25.65
wl-2 86400 IN A 140.105.25.66
wl-3 86400 IN A 140.105.25.67
mac-enricof 86400 IN A 140.105.39.50
wl-5 86400 IN A 140.105.25.69
wl-6 86400 IN A 140.105.25.70
wl-7 86400 IN A 140.105.25.71
wl-8 86400 IN A 140.105.25.72
wl-9 86400 IN A 140.105.25.73
mac-auditor1 86400 IN A 140.105.39.83
proposals 86400 IN CNAME webmail
susy2013 86400 IN A 140.105.28.91
hp83-marco 86400 IN A 140.105.26.53
lists 86400 IN CNAME webmail
tc3-tuniz 86400 IN A 140.105.17.199
nb8-18-28 86400 IN A 140.105.18.28
twnso 86400 IN CNAME webmail
pb-svisintin 86400 IN A 140.105.39.87
mac-luzzatto 86400 IN A 140.105.30.10
mac-crotta 86400 IN A 140.105.35.46
signage-ggh-entr 86400 IN A 140.105.19.174
pb-tanaskovic 86400 IN A 140.105.35.54
voip 86400 IN A 140.105.47.16
webform 86400 IN CNAME webmail
tech-office 86400 IN CNAME webmail
cl-clima 86400 IN A 140.105.32.40
ictpgrid-ce-1 86400 IN A 140.105.46.200
mac-roque 86400 IN A 140.105.35.53
portal 86400 IN CNAME webmail
placeholder-radio-20 86400 IN A 140.105.26.209
agenda-backup 86400 IN A 140.105.16.158
mac-delconte 86400 IN A 140.105.35.93
agenda-old 86400 IN A 140.105.16.157
onime-test 86400 IN A 140.105.26.35
placeholder-radio-24 86400 IN A 140.105.26.213
mac-calligaro 86400 IN A 140.105.35.42
mac-brancaccio 86400 IN A 140.105.35.18
nb-macalam 86400 IN A 140.105.26.41
mac-h307 86400 IN A 140.105.35.97
hp6-cm-10 86400 IN A 140.105.27.211
hp6-cm-11 86400 IN A 140.105.27.227
hp6-cm-12 86400 IN A 140.105.27.228
hp6-cm-13 86400 IN A 140.105.27.226
hp6-cm-14 86400 IN A 140.105.27.210
hp6-cm-15 86400 IN A 140.105.27.216
hp6-cm-16 86400 IN A 140.105.27.229
hp6-cm-17 86400 IN A 140.105.27.205
hp6-cm-18 86400 IN A 140.105.27.138
cdsagenda5-backup 86400 IN CNAME agenda-backup
hp6-cm-21 86400 IN A 140.105.27.213
hp6-cm-22 86400 IN A 140.105.27.212
hp6-cm-31 86400 IN A 140.105.27.248
hp6-cm-32 86400 IN A 140.105.27.137
hp6-cm-33 86400 IN A 140.105.27.249
events 86400 IN CNAME webmail
ictp-tv 86400 IN A 140.105.28.116
pb-silva 86400 IN A 140.105.27.139
dialup 86400 IN A 140.105.16.120
vpn-lprezios 86400 IN A 140.105.35.125
owsdw 86400 IN CNAME webmail
nb-bnava 86400 IN A 140.105.26.131
pb-sabrina 86400 IN A 140.105.39.37
clp4-10 86400 IN A 140.105.29.228
clp4-11 86400 IN A 140.105.29.229
mac-reception-ggh 86400 IN A 140.105.35.66
elearning 86400 IN A 140.105.28.91
ictsblog 86400 IN CNAME webmail
oldsubmit-1 86400 IN A 140.105.16.131
mac-cde 86400 IN A 140.105.35.73
mac-ced 86400 IN A 140.105.26.40
sv15 86400 IN CNAME webmail
vpnandrea-maint 86400 IN A 140.105.17.112
pio-new 86400 IN CNAME scs2
tmp-2 86400 IN A 140.105.24.21
mac-pilati 86400 IN A 140.105.27.150
mac-bazzo 86400 IN A 140.105.39.2
mac-sarnataro 86400 IN A 140.105.35.17
mac-creminelli 86400 IN A 140.105.29.19
mac-ferreira 86400 IN A 140.105.35.122
hp6-progoff 86400 IN A 140.105.38.72
amd64-clima1 86400 IN A 140.105.32.44
amd64-clima2 86400 IN A 140.105.32.47
mac-omanovich 86400 IN A 140.105.40.219
hp83-tmp-16 86400 IN A 140.105.26.36
t-ict4d 86400 IN CNAME webmail
radius1-e 86400 IN A 140.105.16.80
test-e-diploma 86400 IN CNAME testbed
cameroon 86400 IN A 140.105.32.203
nb-smirnov-old 86400 IN A 140.105.29.66
nb-radicella-o 86400 IN A 140.105.26.224
mac-cwt 86400 IN A 140.105.22.30
transportation 86400 IN CNAME webmail
medsrv1 86400 IN A 140.105.32.204
sign-lb-math 86400 IN A 140.105.19.234
pcsv3 86400 IN A 140.105.16.119
radius2-e 86400 IN A 140.105.16.81
mac-loandesk 86400 IN A 140.105.40.221
mail 86400 IN CNAME imap
hp83-tech-1 86400 IN A 140.105.35.112
hp83-tech-2 86400 IN A 140.105.35.112
placeholder-radio-18 86400 IN A 140.105.26.207
placeholder-radio-19 86400 IN A 140.105.26.208
placeholder-radio-21 86400 IN A 140.105.26.210
placeholder-radio-22 86400 IN A 140.105.26.211
placeholder-radio-23 86400 IN A 140.105.26.212
list 86400 IN CNAME webmail
placeholder-radio-25 86400 IN A 140.105.26.214
placeholder-radio-26 86400 IN A 140.105.26.215
placeholder-radio-27 86400 IN A 140.105.26.216
placeholder-radio-28 86400 IN A 140.105.26.217
placeholder-radio-29 86400 IN A 140.105.26.218
placeholder-radio-31 86400 IN A 140.105.26.220
cdsagenda5 86400 IN CNAME webmail
mac-decomelli 86400 IN A 140.105.35.29
vpn-bazzo 86400 IN A 140.105.44.40
mac-maint1agh 86400 IN A 140.105.35.89
mac-airport-TC-aoudia 86400 IN A 140.105.29.139
libpr-1 86400 IN A 140.105.40.179
libpr-2 86400 IN A 140.105.40.30
nb-lucatello-2 86400 IN A 140.105.37.58
mac-corona2 86400 IN A 140.105.35.7
86400 IN A 140.105.35.113
amd64-sand 86400 IN A 140.105.32.24
mac-zetto-2 86400 IN A 140.105.35.98
mac-zobeni 86400 IN A 140.105.40.213
adsl-gw 86400 IN A 80.20.205.105
regdesk4 86400 IN A 140.105.35.56
math 86400 IN CNAME webmail
mac-reception1-agh 86400 IN A 140.105.35.108
hp6-arpl-2 86400 IN A 140.105.26.200
hp6-arpl-1 86400 IN A 140.105.26.199
mac-streacy 86400 IN A 140.105.38.34
hp6-arpl-3 86400 IN A 140.105.26.194
hp6-arpl-4 86400 IN A 140.105.26.197
hp6-arpl-5 86400 IN A 140.105.26.196
hp6-arpl-6 86400 IN A 140.105.26.198
hp6-arpl-7 86400 IN A 140.105.26.195
hp6-arpl-8 86400 IN A 140.105.26.188
hp6-arpl-9 86400 IN A 140.105.26.189
pcl-ictslab-01 86400 IN A 140.105.39.60
c6509-vrrp 86400 IN A 140.105.47.65
pcl-ictslab-04 86400 IN A 140.105.39.63
c6509-a-outside 86400 IN A 140.105.47.66
nb8-18-6 86400 IN A 140.105.18.6
proposal 86400 IN CNAME webmail
publications 86400 IN A 140.105.28.100
pcl-ictslab-03 86400 IN A 140.105.39.62
mac-mungapen 86400 IN A 140.105.38.16
ajmp 86400 IN CNAME mainhub
realproducer 86400 IN A 140.105.19.220
mac-vacchi 86400 IN A 140.105.17.6
wpad 86400 IN CNAME webmail
mac-ef215 86400 IN A 140.105.22.38
amd64-100 86400 IN A 140.105.32.81
amd64-101 86400 IN A 140.105.32.84
amd64-102 86400 IN A 140.105.32.85
oldwww 86400 IN A 140.105.28.16
hp6-budinich 86400 IN A 140.105.30.221
hp6-lb-euler 86400 IN A 140.105.30.229
mediacore 86400 IN A 140.105.16.90
fablab 86400 IN A 140.105.28.91
mac-gregori 86400 IN A 140.105.37.8
rosa-grid7 86400 IN A 140.105.46.107
testbed 86400 IN A 140.105.33.234
mac-tuniz 86400 IN A 140.105.38.176
nb-smirnov 86400 IN A 140.105.29.8
nb-scs1 86400 IN A 140.105.26.63
mac-radosic 86400 IN A 140.105.35.41
pb-pieretti 86400 IN A 140.105.39.3
pc-ratosa1 86400 IN A 140.105.26.59
pc-ratosa2 86400 IN A 140.105.26.58
pb-usi 86400 IN A 140.105.39.48
pb-radicella 86400 IN A 140.105.19.214
ssa-client 86400 IN A 140.105.37.130
acs-ntp 86400 IN CNAME fs2
private-33-31 86400 IN A 140.105.33.31
regdesk1 86400 IN A 140.105.35.80
regdesk2 86400 IN A 140.105.35.81
regdesk3 86400 IN A 140.105.35.82
private-33-32 86400 IN A 140.105.33.32
regdesk5 86400 IN A 140.105.35.85
regdesk6 86400 IN A 140.105.35.86
regdesk7 86400 IN A 140.105.35.94
regdesk8 86400 IN A 140.105.35.5
private-33-33 86400 IN A 140.105.33.33
mac-fanni 86400 IN A 140.105.22.13
private-33-37 86400 IN A 140.105.33.37
mac-lusenti 86400 IN A 140.105.35.32
private-33-40 86400 IN A 140.105.33.40
MLAB02 86400 IN A 140.105.17.217
arpl-fs 86400 IN A 140.105.19.215
MLAB04 86400 IN A 140.105.17.219
hp6-dip-4 86400 IN A 140.105.39.134
hp6-dip-5 86400 IN A 140.105.39.135
hp6-dip-6 86400 IN A 140.105.39.136
hp6-dip-7 86400 IN A 140.105.39.137
hp6-dip-8 86400 IN A 140.105.39.138
hp6-dip-9 86400 IN A 140.105.39.139
pc-efb218-2 86400 IN A 140.105.39.36
nb9-19-64 86400 IN A 140.105.19.64
mac-efb215 86400 IN A 140.105.22.54
nb-seif 86400 IN A 140.105.29.5
acnpnilde 86400 IN CNAME webmail
tc2-tuniz 86400 IN A 140.105.17.198
hp83-clima-5 86400 IN A 140.105.29.198
oea-new 86400 IN CNAME scs2
hp8g1-aghpub-1 86400 IN A 140.105.24.131
hp8g1-aghpub-2 86400 IN A 140.105.24.132
amd64-3 86400 IN A 140.105.32.67
amd64-4 86400 IN A 140.105.32.68
amd64-5 86400 IN A 140.105.32.69
amd64-6 86400 IN A 140.105.32.70
amd64-7 86400 IN A 140.105.32.71
amd64-8 86400 IN A 140.105.32.72
amd64-9 86400 IN A 140.105.32.73
hp6-patel 86400 IN A 140.105.38.22
hp6-lb-stasi 86400 IN A 140.105.30.232
ethiopia 86400 IN A 140.105.32.202
hp83-step-3 86400 IN A 140.105.23.215
hp83-step-4 86400 IN A 140.105.30.91
mac-celani 86400 IN A 140.105.27.251
vpn-tuniz 86400 IN A 140.105.38.135
webapp 86400 IN CNAME webmail
hp600 86400 IN A 140.105.26.55
vpn-vascotto 86400 IN A 140.105.37.62
pc-efb219-1 86400 IN A 140.105.39.64
ejournals 86400 IN A 140.105.16.125
ejournals 86400 IN MX 5 ejournals
pb-gottsche 86400 IN A 140.105.30.94
mac-sstantic 86400 IN A 140.105.39.32
srsv-ext 86400 IN A 140.105.32.20
hp6-dir-1 86400 IN A 140.105.25.240
hp6-dir-2 86400 IN A 140.105.25.241
hp6-dir-3 86400 IN A 140.105.25.242
mac-henningsen 86400 IN A 140.105.35.78
pctwas-20 86400 IN A 140.105.38.23
latinamerica 86400 IN CNAME webmail
mac-cresi 86400 IN A 140.105.22.16
MLAB03 86400 IN A 140.105.17.218
netscreen-unesco2 86400 IN A 80.20.205.110
mac-cresevich 86400 IN A 140.105.22.11
oldprintsv1 86400 IN A 140.105.16.15
clima-ftp 86400 IN A 140.105.16.10
vpn-consorzio-2 86400 IN A 140.105.17.113
naget 86400 IN CNAME webmail
hp83-onime 86400 IN CNAME hp8g1-onime
amd64-12 86400 IN A 140.105.32.76
pre-susy-2013 86400 IN CNAME susy2013
websis 86400 IN CNAME webmail
wwwnew 86400 IN CNAME webmail
acsext2-bazzo 86400 IN A 140.105.47.12
agenda 86400 IN CNAME webmail
master 86400 IN A 140.105.16.78
