@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
nb8-18-34 86400 IN A 140.105.18.34
nb8-18-35 86400 IN A 140.105.18.35
nb8-18-36 86400 IN A 140.105.18.36
nb8-18-37 86400 IN A 140.105.18.37
nb8-18-38 86400 IN A 140.105.18.38
nb8-18-39 86400 IN A 140.105.18.39
nb8-18-41 86400 IN A 140.105.18.41
nb8-18-42 86400 IN A 140.105.18.42
nb8-18-43 86400 IN A 140.105.18.43
nb8-18-44 86400 IN A 140.105.18.44
nb8-18-45 86400 IN A 140.105.18.45
nb8-18-46 86400 IN A 140.105.18.46
nb8-18-47 86400 IN A 140.105.18.47
mac-bnava-air 86400 IN A 140.105.26.221
nb8-18-49 86400 IN A 140.105.18.49
nb8-18-51 86400 IN A 140.105.18.51
nb8-18-53 86400 IN A 140.105.18.53
nb8-18-54 86400 IN A 140.105.18.54
nb8-18-56 86400 IN A 140.105.18.56
nb8-18-57 86400 IN A 140.105.18.57
nb8-18-58 86400 IN A 140.105.18.58
nb8-18-60 86400 IN A 140.105.18.60
nb8-18-61 86400 IN A 140.105.18.61
nb8-18-62 86400 IN A 140.105.18.62
nb8-18-63 86400 IN A 140.105.18.63
nb8-18-64 86400 IN A 140.105.18.64
nb8-18-65 86400 IN A 140.105.18.65
mac-kidambi 86400 IN A 140.105.35.107
nb8-18-67 86400 IN A 140.105.18.67
nb8-18-68 86400 IN A 140.105.18.68
nb8-18-69 86400 IN A 140.105.18.69
nb8-18-71 86400 IN A 140.105.18.71
nb8-18-72 86400 IN A 140.105.18.72
nb8-18-73 86400 IN A 140.105.18.73
nb8-18-74 86400 IN A 140.105.18.74
nb8-18-75 86400 IN A 140.105.18.75
nb8-18-76 86400 IN A 140.105.18.76
nb8-18-77 86400 IN A 140.105.18.77
nb8-18-78 86400 IN A 140.105.18.78
nb8-18-79 86400 IN A 140.105.18.79
nb8-18-81 86400 IN A 140.105.18.81
nb8-18-82 86400 IN A 140.105.18.82
nb8-18-83 86400 IN A 140.105.18.83
nb8-18-84 86400 IN A 140.105.18.84
nb8-18-85 86400 IN A 140.105.18.85
nb8-18-86 86400 IN A 140.105.18.86
nb8-18-87 86400 IN A 140.105.18.87
nb8-18-88 86400 IN A 140.105.18.88
nb8-18-89 86400 IN A 140.105.18.89
indico 86400 IN CNAME webmail
nb8-18-92 86400 IN A 140.105.18.92
nb8-18-93 86400 IN A 140.105.18.93
nb8-18-94 86400 IN A 140.105.18.94
nb8-18-95 86400 IN A 140.105.18.95
nb8-18-96 86400 IN A 140.105.18.96
nb8-18-97 86400 IN A 140.105.18.97
nb8-18-98 86400 IN A 140.105.18.98
nb8-18-99 86400 IN A 140.105.18.99
hp83-ekl-1 86400 IN A 140.105.24.201
hp83-ekl-2 86400 IN A 140.105.24.202
hp83-ekl-3 86400 IN A 140.105.24.203
hp83-ekl-4 86400 IN A 140.105.24.204
hp83-ekl-5 86400 IN A 140.105.24.205
hp83-ekl-6 86400 IN A 140.105.24.206
hp83-ekl-7 86400 IN A 140.105.24.207
hp83-ekl-8 86400 IN A 140.105.24.208
hp83-ekl-9 86400 IN A 140.105.24.209
winlib 86400 IN A 140.105.40.55
mac-trevisan 86400 IN A 140.105.22.21
mlab101-2 86400 IN A 140.105.17.221
mac-williams 86400 IN A 140.105.35.63
mac-johannes 86400 IN A 140.105.39.11
smtp1 86400 IN A 140.105.16.51
smtp2 86400 IN A 140.105.16.52
magma 86400 IN A 140.105.16.23
webmail1 86400 IN A 140.105.16.175
fbstreaming 86400 IN A 140.105.16.183
