tapachula 3600 IN A 148.222.140.1
congresoadmon 3600 IN CNAME webunach2
www.esja.especialidades 3600 IN CNAME esja.especialidades
www.arriaga 3600 IN CNAME webunach2
tvmanager 3600 IN A 148.222.11.7
www.evento40aniversario 3600 IN CNAME evento40aniversario
becas 3600 IN A 148.222.11.117
www.audescacaochocolate 3600 IN CNAME webunach2
www.familiadesitios 3600 IN CNAME familiadesitios
secgral 3600 IN CNAME webunach2
frecuenciaocelote 3600 IN CNAME serversauce
baystack304 3600 IN A 148.222.12.250
www.ferialibro 3600 IN CNAME webunach2
fddi-recur 3600 IN A 148.222.1.7
www.reinscripciones 3600 IN CNAME siae
www.asuntos 3600 IN CNAME asuntos
aulauv 3600 IN A 148.222.11.33
374138450.alumno 3600 IN CNAME domains.live.com.
pcle.especialidad 3600 IN A 148.222.11.20
sari 3600 IN CNAME webunach2
ceducon 3600 IN CNAME webunach2
www.empresasfamiliares 3600 IN CNAME empresasfamiliares
meducativo 3600 IN CNAME modeloeducativo
_xmpp-client._tcp 3600 IN SRV 5 0 5222 jabber
posgrado.facmed 3600 IN CNAME webunach2
www.dcs.doctorados 3600 IN CNAME dcs.doctorados
congresodh 3600 IN A 148.222.11.117
www.dpersonal 3600 IN CNAME webunach2
agroindustrias 3600 IN CNAME webunach2
inventario 3600 IN A 148.222.11.20
rectoria0 3600 IN A 148.222.70.0
rectoria1 3600 IN A 148.222.70.1
caiha 3600 IN CNAME webunach2
www.coacd 3600 IN CNAME modeloeducativo
www.departamentales.fcp 3600 IN CNAME departamentales.fcp
_jabber._tcp 3600 IN SRV 5 0 5269 jabber
www.iij 3600 IN CNAME iij
esja.especialidades 3600 IN A 148.222.11.20
www.incubo 3600 IN CNAME incubo
www.campusmedia 3600 IN CNAME campusmedia
www.mdll.maestrias 3600 IN CNAME mdll.maestrias
sistemas 3600 IN A 148.222.26.1
sistemas 3600 IN MX 30 sistemas
www.mau.maestrias 3600 IN CNAME mau.maestrias
tutoralgolsc 3600 IN A 148.222.11.20
cecs 3600 IN CNAME webunach2
psicopedagogico-fca1 3600 IN CNAME webunach2
www.tutorias.modeloeducativo 3600 IN CNAME modeloeducativo
lenguas-tux0 3600 IN A 148.222.110.0
lenguas-tux1 3600 IN A 148.222.110.1
encuentroempresarial 3600 IN A 148.222.11.20
proxy 3600 IN A 148.222.11.18
textosdeinvestigacion 3600 IN A 148.222.11.20
unach2 3600 IN CNAME webunach2
sociales0 3600 IN A 148.222.20.0
sociales1 3600 IN A 148.222.20.1
www.redceromaya 3600 IN CNAME webunach2
www.caceca.fcp 3600 IN CNAME fcp
tickets 3600 IN A 148.222.11.118
www.sireec 3600 IN CNAME sireec
www.ambiental 3600 IN CNAME webunach2
www.webunach2 3600 IN CNAME webunach2
www.censo 3600 IN CNAME censo
veterinaria 3600 IN CNAME webunach2
www.tutoria 3600 IN CNAME modeloeducativo
www.tutoriasposgrado 3600 IN CNAME tutoriasposgrado
www.serviciosocial 3600 IN CNAME serviciosocial
empresasfamiliares 3600 IN A 148.222.11.20
quimicas-ocozocoautla 3600 IN A 148.222.11.20
autonomiaautogestion 3600 IN CNAME webunach2
www.contraloriasocial 3600 IN CNAME webunach2
ecacampusviii 3600 IN CNAME webunach2
www.observa 3600 IN CNAME webunach2
sed 3600 IN CNAME webunach2
siipi.dgip 3600 IN A 148.222.11.20
www.arquitectura 3600 IN CNAME arquitectura
www.veterinaria 3600 IN CNAME webunach2
proyectos 3600 IN CNAME montebello
departamentales.fcp 3600 IN A 148.222.142.5
www.foro-ti 3600 IN CNAME cv2
seguimientodeegresados 3600 IN CNAME modeloeducativo
ferialibro 3600 IN CNAME webunach2
fundacion 3600 IN CNAME webunach2
sauce 3600 IN A 148.222.11.4
www.ecacampusvii 3600 IN CNAME webunach2
opac 3600 IN A 148.222.32.2
www.test.uv 3600 IN CNAME test.uv
ticketmi 3600 IN CNAME cv2
www.incunachtap 3600 IN CNAME incunachtap
www.aulavirtual 3600 IN CNAME aulavirtual
