@ 3600 IN SOA @ root 2015041000 900 600 86400 3600
@ 3600 IN NS ns
3600 IN NS ns.naverex.net.
@ 3600 IN A 213.169.81.98
@ 3600 IN MX 10 ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX4.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX5.GOOGLEMAIL.COM.
3600 IN MX 31 web
3600 IN MX 32 router
ird 3600 IN A 213.169.81.98
iuf 3600 IN A 213.169.81.98
www.ktip 3600 IN A 213.169.81.98
www.new.lib 3600 IN A 195.162.89.41
router-dns 3600 IN A 213.169.81.97
www.wou 3600 IN A 213.169.81.98
kpn.ipsp 3600 IN A 213.169.81.98
www.nfranchuk 3600 IN A 213.169.81.98
www.meet 3600 IN A 213.169.81.105
www.fmi 3600 IN A 213.169.81.98
moodle.ii 3600 IN A 213.169.81.99
www.wiuu 3600 IN A 213.169.81.98
www.kiido 3600 IN A 213.169.81.98
csr 3600 IN A 213.169.81.98
docs 3600 IN CNAME ghs.google.com.
ifon.kph 3600 IN A 213.169.81.98
www.kuei.iueo 3600 IN A 213.169.81.98
keo 3600 IN A 213.169.81.98
www.redmain 3600 IN A 213.169.81.105
kitp 3600 IN A 213.169.81.98
www.e-journals 3600 IN A 213.169.81.99
elib 3600 IN A 213.169.81.105
www.moodle.tryus.ii 3600 IN A 213.169.81.99
www.dragomanov 3600 IN A 213.169.81.98
av 3600 IN A 213.169.81.98
ifvs 3600 IN A 213.169.81.98
kpn 3600 IN A 213.169.81.98
kyivobl-man 3600 IN A 213.169.81.98
kki.ii 3600 IN A 213.169.81.98
www.kivi 3600 IN A 213.169.81.98
moodle25 3600 IN A 213.169.81.99
www.kzmg.iif 3600 IN A 213.169.81.98
www.igtverd.ii 3600 IN A 213.169.81.98
cu 3600 IN A 213.169.81.98
router 3600 IN A 195.162.89.34
dn 3600 IN A 213.169.81.99
enpuir 3600 IN A 195.162.89.42
moodle27 3600 IN A 213.169.81.99
calendar.ii 3600 IN CNAME ghs.google.com.
lad 3600 IN A 213.169.81.98
www.snt 3600 IN A 213.169.81.98
www.igtverd 3600 IN A 213.169.81.98
vfranchuk.ii 3600 IN A 213.169.81.98
www.monitoring 3600 IN A 213.169.81.98
