mecheng 900 IN CNAME kentico-p
sportscouncil 900 IN CNAME kentico-p
studentaffairsg 900 IN CNAME kentico-p
dmz 900 IN A 196.21.198.1
renewableenergy 900 IN CNAME extweb
nmmutube 900 IN CNAME mootoo
fm 900 IN CNAME mcwb04
labour 900 IN CNAME kentico-p
health 900 IN CNAME kentico-p
tdu 900 IN CNAME kentico-p
fba 900 IN CNAME sp2013-lb
im 900 IN A 196.21.193.6
*.csdev 900 IN A 196.13.116.1
groupdyn 900 IN CNAME kentico-p
tourman 900 IN CNAME kentico-p
emc 900 IN CNAME kentico-p
arch 900 IN CNAME kentico-p
protection 900 IN CNAME kentico-p
upload 900 IN CNAME tardis
mi 900 IN CNAME kentico-p
prometheus 900 IN A 192.96.15.250
neptune 900 IN AAAA 2001:4200:2000:100::2
neptune 900 IN A 192.96.249.1
mantis 900 IN A 196.21.192.15
oc 900 IN CNAME openacad
ares 900 IN A 192.96.15.220
my 900 IN CNAME moo
DZC 900 IN TXT "1D2v5o4"
webservices 900 IN CNAME kentico-p
postgraduate 900 IN CNAME kentico-p
journo 900 IN CNAME kentico-p
deptsext 900 IN CNAME sp2013-lb
qa 900 IN CNAME kentico-p
ncsmtp 900 IN A 196.21.198.170
hrman 900 IN CNAME kentico-p
markman 900 IN CNAME kentico-p
nmmusp 900 IN CNAME sp2013-lb
pr 900 IN CNAME kentico-p
ps 900 IN A 196.21.193.193
csdev 900 IN A 196.13.116.1
saasvpnreal 900 IN A 192.96.15.70
bhsd 900 IN CNAME kentico-p
qs 900 IN CNAME kentico-p
library 900 IN CNAME kentico-p
rowing 900 IN CNAME kentico-p
rm 900 IN CNAME kentico-p
missionvale 900 IN CNAME kentico-p
si 900 IN CNAME kentico-p
caar 900 IN CNAME kentico-p
sp 900 IN A 196.21.192.77
caec 900 IN CNAME kentico-p
sgss 900 IN CNAME kentico-p
uwhockey 900 IN CNAME kentico-p
eduroam0 900 IN A 192.96.15.115
golf 900 IN CNAME kentico-p
sict 900 IN CNAME kentico-p
solarcarcomp 900 IN CNAME supamoo
shop 900 IN CNAME kentico-p
newmy 900 IN A 192.96.15.71
intra-s 900 IN A 192.96.15.47
gli 900 IN CNAME kentico-p
arts 900 IN CNAME kentico-p
ikamva 900 IN CNAME kentico-p
trapdoor 900 IN A 196.21.192.45
devman 900 IN A 192.96.15.199
mahealth 900 IN CNAME kentico-p
www1 900 IN A 196.21.193.10
o365fs 900 IN A 196.21.193.3
educationlibrarian 900 IN CNAME kentico-p
printmaking 900 IN CNAME kentico-p
statistics 900 IN CNAME kentico-p
sharp 900 IN CNAME mcwb04
tg59 900 IN CNAME kentico-p
SIConf2015 900 IN CNAME kentico-p
nmmumod 900 IN CNAME sp2013-lb
newton 900 IN CNAME www1
saims 900 IN CNAME lock
melodi 900 IN CNAME kentico-p
redir 900 IN A 192.96.15.48
ACCConference 900 IN CNAME kentico-p
cultura 900 IN CNAME kentico-p
vpn-north 900 IN A 196.21.192.69
basalt 900 IN CNAME eros
nmmuprofiles 900 IN CNAME sp2013-lb
assetmapsadmin 900 IN CNAME kentico-p
swimming 900 IN CNAME kentico-p
intauth 900 IN A 196.21.192.114
clinic 900 IN CNAME kentico-p
CPGateway 900 IN CNAME kentico-p
hms 900 IN CNAME kentico-p
architecture 900 IN CNAME kentico-p
iaw2014 900 IN CNAME kentico-p
gravel 900 IN A 196.21.192.188
crimproclaw 900 IN CNAME kentico-p
accommodation 900 IN CNAME kentico-p
sciencelibrarian 900 IN CNAME kentico-p
volleyball 900 IN CNAME kentico-p
counselling 900 IN CNAME kentico-p
hsd 900 IN CNAME kentico-p
mdmgw 900 IN A 196.21.193.69
nmmu10.nmmu.ac.za 900 IN CNAME kentico-p
mobi 900 IN CNAME kentico-p
disability 900 IN CNAME kentico-p
ila 900 IN CNAME kentico-p
mscbuilt 900 IN CNAME kentico-p
excas 900 IN A 192.96.15.187
jdl 900 IN CNAME kentico-p
tuktuk 900 IN A 196.21.192.70
nagios 900 IN A 196.21.192.48
scsmps 900 IN CNAME kentico-p
georgecampussport 900 IN CNAME kentico-p
democracy 900 IN CNAME kentico-p
iop 900 IN CNAME kentico-p
red5-nc1 900 IN CNAME red5
newportal 900 IN A 192.96.15.72
calendar.bva 900 IN CNAME ghs.googlehosted.com.
scsmtp 900 IN A 192.96.15.170
fxgate2 900 IN A 192.96.15.254
ssoauth 900 IN A 192.96.15.240
email 900 IN CNAME gateway
boards 900 IN CNAME absolut
biomicro 900 IN CNAME kentico-p
eskomexpope 900 IN CNAME kentico-p
giant 900 IN A 196.21.192.115
hisa 900 IN CNAME kentico-p
marketing 900 IN CNAME kentico-p
news 900 IN CNAME kentico-p
eskomprod 900 IN A 192.96.15.126
aidsinfo 900 IN CNAME kentico-p
