www.claudiosantini 3600 IN CNAME server4
pingifes 3600 IN A 200.129.142.23
www.giovane 3600 IN CNAME server4
voip-server2.unir.br 3600 IN A 200.129.139.16
www.gefeu 3600 IN CNAME server4
www.semeng 3600 IN CNAME server4
www.vestibularindigena 3600 IN CNAME server4
www.sistema 3600 IN CNAME sistema
www.deccvilhena 3600 IN CNAME server4
www.mb 3600 IN CNAME server4
www.sistemas 3600 IN CNAME sistemas
idp-cafe 3600 IN A 200.129.142.150
www.mundoacademico 3600 IN CNAME mundoacademico
www.wilmasuely 3600 IN CNAME server4
www.ldfq 3600 IN CNAME server4
www.historia 3600 IN CNAME server4
www.maratona.dacc 3600 IN CNAME server4
www.nt 3600 IN CNAME server4
www.semanaeduca 3600 IN CNAME server4
www.epidemiologia 3600 IN CNAME server4
www.paulo 3600 IN CNAME server4
www.dacc 3600 IN CNAME server4
www.etica 3600 IN CNAME server4
www.revistacegra 3600 IN CNAME server4
www.ri 3600 IN CNAME ri
www.projetospedagogicos 3600 IN CNAME server4
www.dartes 3600 IN CNAME server4
www.integrarte 3600 IN CNAME server4
www.juliorocha 3600 IN CNAME server4
www.botobde 3600 IN CNAME botobde
www.rolim 3600 IN CNAME server4
www.nucsa 3600 IN CNAME server4
www.edufro 3600 IN CNAME server4
www.processoseletivo 3600 IN CNAME server4
www.infounir 3600 IN CNAME server4
server10 3600 IN A 200.129.142.22
www.pingifes 3600 IN CNAME pingifes
www.parfor-ro 3600 IN CNAME server4
www.admpuab 3600 IN CNAME server4
www.darlene 3600 IN CNAME server4
ns1 3600 IN A 200.129.140.7
ns2 3600 IN A 200.129.140.8
www.coloquiosnch 3600 IN CNAME server4
www.dausen 3600 IN CNAME server4
www.gepegra 3600 IN CNAME server4
www.mestradoeducacao 3600 IN CNAME server4
www.iliro 3600 IN CNAME server4
www.vestibular2009 3600 IN CNAME server4
www.rara 3600 IN CNAME server4
srv04 3600 IN A 200.129.142.241
www.laris 3600 IN CNAME server4
www.estatuinte 3600 IN CNAME server4
www.processoseletivoedital06 3600 IN CNAME server4
www.processoseletivoedital07 3600 IN CNAME server4
www.analucia 3600 IN CNAME server4
www.eleicaovr 3600 IN CNAME server4
www.concursoedital002 3600 IN CNAME server4
www.concursoedital025.unir.br 3600 IN CNAME server4
www.pingifes2 3600 IN CNAME pingifes2
www.concursoedital013 3600 IN CNAME server4
www.semanamat 3600 IN CNAME server4
www.cedei 3600 IN CNAME server4
www.concursoedital020 3600 IN CNAME server4
www.dbio 3600 IN CNAME server4
www.dasg 3600 IN CNAME server4
www.tutoruab 3600 IN CNAME server4
www.pibic 3600 IN CNAME server4
www.pibid 3600 IN CNAME server4
www.silvia 3600 IN CNAME server4
www.cienciascontabeis 3600 IN CNAME server4
www.avaliacaoinstitucional 3600 IN CNAME server4
www.silic 3600 IN CNAME server4
www.erdam 3600 IN CNAME servtelessaude
