pccompta06 86400 IN A 193.50.195.38
pccompta07 86400 IN A 193.50.195.25
pccompta08 86400 IN A 193.50.195.226
pccompta09 86400 IN A 193.50.195.48
pccompta11 86400 IN A 193.50.195.103
pccompta13 86400 IN A 193.50.195.80
pccompta16 86400 IN A 193.50.195.125
pccompta17 86400 IN A 193.50.195.217
ap1100-manesth 86400 IN A 192.168.29.76
copieur-cambrai-iut-tciaa 86400 IN A 192.168.10.10
niard430 86400 IN A 195.221.191.1
impiutdir1 86400 IN A 192.168.11.78
copieur-abelpujol2-1 86400 IN A 192.168.191.219
2960-iemn-serveur 86400 IN A 192.168.20.112
soufflerie3 86400 IN A 192.168.22.56
impcouliutfc1 86400 IN A 192.168.30.56
routeur-crous 86400 IN A 192.168.24.253
pcistvprof01 86400 IN A 192.168.7.134
pcistvprof02 86400 IN A 192.168.191.172
c3t-fd2 86400 IN A 192.168.8.147
c3t-fd3 86400 IN A 192.168.8.56
pcistvprof05 86400 IN A 192.168.194.95
pcistvprof06 86400 IN A 192.168.5.232
pcistvprof07 86400 IN A 192.168.5.125
pcistvprof08 86400 IN A 192.168.5.37
pcistvprof09 86400 IN A 192.168.5.18
pcistvprof12 86400 IN A 193.50.194.31
pcistvprof13 86400 IN A 192.168.191.173
pcistvprof14 86400 IN A 192.168.5.9
pcistvprof16 86400 IN A 195.221.191.66
pcistvprof17 86400 IN A 195.221.191.68
pcistvprof18 86400 IN A 192.168.5.5
pcistvprof19 86400 IN A 192.168.191.136
pcistvprof21 86400 IN A 192.168.7.18
pcistvprof22 86400 IN A 192.168.191.24
pcistvprof23 86400 IN A 193.50.194.8
pcistvprof24 86400 IN A 195.221.191.88
pcistvprof25 86400 IN A 195.221.191.87
pcistvprof26 86400 IN A 192.168.191.199
pcistvprof27 86400 IN A 192.168.191.99
pcistvprof28 86400 IN A 192.168.191.63
pc227uistv0-06 86400 IN A 192.168.194.226
pc227uistv0-07 86400 IN A 192.168.194.189
pc227uistv0-08 86400 IN A 192.168.194.187
pc227uistv0-09 86400 IN A 192.168.194.146
pc227uistv0-11 86400 IN A 192.168.194.143
pc227uistv0-12 86400 IN A 192.168.194.140
pc227uistv0-13 86400 IN A 192.168.194.93
pc227uistv0-14 86400 IN A 192.168.194.79
pc227uistv0-15 86400 IN A 192.168.194.70
pc227uistv0-16 86400 IN A 192.168.194.69
pc227uistv0-17 86400 IN A 192.168.194.62
ap1130-ext-c3t 86400 IN A 192.168.29.126
clonelcvm 86400 IN A 192.168.6.8
nausicaa2-istv3 86400 IN A 192.168.5.121
ensi-imp-his 86400 IN A 192.168.19.234
port-leteneur 86400 IN A 192.168.4.108
impcepml1daeu 86400 IN A 192.168.9.45
pc3-rech-train 86400 IN A 192.168.6.202
portable-qlio-23-wifi 86400 IN A 192.168.35.15
pc-guerin-wifi 86400 IN A 192.168.28.12
ronzier-crl2-26 86400 IN A 172.16.3.51
m4700-lauro 86400 IN A 192.168.2.247
pivrapide 86400 IN A 192.168.8.10
mc-cadiou-wifi 86400 IN A 192.168.36.141
cam-info3 86400 IN A 192.168.3.141
port-leroy-wifi 86400 IN A 192.168.28.71
mac-fb-station 86400 IN A 192.168.194.136
pschittpres01 86400 IN A 192.168.103.151
wirecast-istv1 86400 IN A 193.50.194.71
ap1130-ext-catapulte 86400 IN A 192.168.29.125
eurocopter 86400 IN A 192.168.191.129
2950-istv0-audio-1etage 86400 IN A 192.168.20.27
servlet-dev 86400 IN CNAME up4vm
pc-debuecker 86400 IN A 192.168.1.161
robot4-geii 86400 IN A 192.168.1.136
tert-pc-courbe 86400 IN A 172.16.121.71
pcmgenevieve 86400 IN A 195.221.191.28
hp-officejet-7110-1 86400 IN A 192.168.8.209
hp-officejet-7110-2 86400 IN A 192.168.8.210
hp-officejet-7110-3 86400 IN A 192.168.8.59
m4 86400 IN CNAME dbentvm
m5 86400 IN CNAME dbentvm
m6 86400 IN CNAME dbentvm
pc-soualmi 86400 IN A 192.168.6.44
jb 86400 IN A 195.221.189.208
im 86400 IN CNAME jabbervm
bioverres 86400 IN A 195.221.191.168
pcistvstagiaire02 86400 IN A 195.221.191.12
ap1130-pum-amphi 86400 IN A 192.168.29.159
iy 86400 IN A 195.221.189.174
fippoproriolwifi 86400 IN A 192.168.39.79
pcdsiadmcms 86400 IN A 192.168.195.101
chaine4cafetrz 86400 IN A 192.168.24.57
vucwebcom 86400 IN A 192.168.1.194
pc-allouche 86400 IN A 192.168.4.19
pcbumhs103b-new 86400 IN A 195.221.187.69
c3t-jg2 86400 IN A 192.168.22.67
ensi-instron 86400 IN A 192.168.19.4
port-christian-wifi-cambr 86400 IN A 192.168.35.48
pcistvsalle150 86400 IN A 193.50.194.40
macbkpry 86400 IN A 192.168.8.242
ex3300-istv1 86400 IN A 192.168.18.64
ex3300-istv2 86400 IN A 192.168.18.63
probook650g1-1 86400 IN A 192.168.22.133
probook650g1-2 86400 IN A 192.168.5.85
probook650g1-3 86400 IN A 192.168.22.138
s116pc4 86400 IN A 192.168.38.143
ensi-pb-lesbros 86400 IN A 192.168.25.24
pcp-vasseur3 86400 IN A 172.16.121.136
vt 86400 IN CNAME vtvm
cam-403-01 86400 IN A 192.168.10.74
pciutgeiiens01 86400 IN A 192.168.30.50
panote 86400 IN A 192.168.1.82
scanrepro 86400 IN A 192.168.194.73
geiimacvc 86400 IN A 192.168.11.133
srv-ora11g 86400 IN A 193.50.195.2
ap1200-pum-117-hs 86400 IN A 192.168.29.85
dream-ossr 86400 IN A 192.168.194.103
ap1200-lme 86400 IN A 192.168.29.10
pcgym-04 86400 IN A 192.168.1.2
t3500-1 86400 IN A 192.168.8.111
t3500-2 86400 IN A 195.221.188.114
t3500-3 86400 IN A 192.168.8.110
visio-dsi-gb 86400 IN A 193.50.193.46
myriam-elmardi 86400 IN A 195.221.189.63
macbook-vpri-ronz 86400 IN A 172.16.3.13
2960-pum-sr1 86400 IN A 192.168.20.107
2960-pum-sr3 86400 IN A 192.168.20.111
imp-adm 86400 IN CNAME dc1-adm
saproutervm 86400 IN A 193.50.192.44
pc107tistv3-01 86400 IN A 192.168.21.232
pc107tistv3-02 86400 IN A 192.168.21.233
minipcbeckhoff 86400 IN A 192.168.4.84
pc107tistv3-04 86400 IN A 192.168.21.3
pc107tistv3-05 86400 IN A 192.168.21.27
pc107tistv3-06 86400 IN A 192.168.21.93
pc107tistv3-07 86400 IN A 192.168.21.7
pc107tistv3-08 86400 IN A 192.168.21.248
pc107tistv3-09 86400 IN A 192.168.21.249
pc107tistv3-11 86400 IN A 192.168.21.251
pc107tistv3-12 86400 IN A 192.168.21.10
c3t-md2 86400 IN A 192.168.22.68
ap1200-ronzier2-3eta 86400 IN A 192.168.29.89
domdl-hpelite 86400 IN A 192.168.2.111
pc-port-fb 86400 IN A 193.50.193.28
macairmayeur-wifi 86400 IN A 192.168.28.85
clodomir4 86400 IN A 192.168.191.59
pcinfodev01 86400 IN A 193.50.193.34
clodomir8 86400 IN A 192.168.191.110
portduvivier 86400 IN A 192.168.6.71
pc-massa 86400 IN A 192.168.2.20
otes-ronzier-1 86400 IN A 192.168.101.8
willy-yvart-hp 86400 IN A 192.168.194.118
ensi3-auto-01 86400 IN A 192.168.19.173
ensi3-auto-02 86400 IN A 192.168.19.174
ensi3-auto-03 86400 IN A 192.168.19.175
ensi3-auto-04 86400 IN A 192.168.19.185
ensi3-auto-05 86400 IN A 192.168.19.101
86400 IN A 192.168.19.215
ensi3-auto-07 86400 IN A 192.168.19.180
ensi3-auto-08 86400 IN A 192.168.19.229
ensi3-auto-10 86400 IN A 192.168.19.231
ensi3-auto-11 86400 IN A 192.168.19.233
ensi3-auto-12 86400 IN A 192.168.25.27
ensi3-auto-13 86400 IN A 192.168.25.28
ensi3-auto-14 86400 IN A 192.168.25.29
ensi3-auto-15 86400 IN A 192.168.25.30
ensi3-auto-17 86400 IN A 192.168.19.93
ensi3-auto-18 86400 IN A 192.168.19.92
ensi3-auto-20 86400 IN A 192.168.19.76
ardwin 86400 IN A 192.168.101.101
tert-pc-402-01 86400 IN A 172.16.1.57
pcrivart3 86400 IN A 192.168.8.239
pc-ratli 86400 IN A 192.168.5.14
pc-rasul 86400 IN A 192.168.4.12
sharp-lgm 86400 IN A 192.168.2.76
aigle 86400 IN A 195.221.189.79
copieur-watteau-iut-appre 86400 IN A 192.168.1.217
moocsysvm 86400 IN A 193.50.192.227
pcnaceur2 86400 IN A 192.168.2.129
impensie4 86400 IN A 192.168.2.179
sherpaeeepc3-wifi 86400 IN A 192.168.36.242
ap1200-tertiales-26 86400 IN A 192.168.29.26
ap1200-tertiales-27 86400 IN A 192.168.29.27
dhcp3vm-2 86400 IN A 192.168.2.99
dhcp3vm-4 86400 IN A 192.168.4.11
dhcp3vm-6 86400 IN A 192.168.6.5
dhcp3vm-7 86400 IN A 192.168.7.94
dhcp3vm-8 86400 IN A 192.168.8.42
pc-fgoichot-wifi 86400 IN A 192.168.39.78
pc-coofev 86400 IN A 172.16.122.10
2960-bu-accueil 86400 IN A 192.168.20.206
ensi-nas-1 86400 IN A 192.168.19.61
ensi-nas-2 86400 IN A 192.168.19.69
ensi-nas-3 86400 IN A 192.168.25.39
ensi-nas-4 86400 IN A 192.168.25.40
ensi-bruno 86400 IN A 192.168.19.26
2800-maubeuge-wifi 86400 IN A 192.168.33.254
pciutappadm10-public 86400 IN A 195.221.190.119
portsigest1-rech 86400 IN A 193.50.193.74
ap1200-tertiales-42 86400 IN A 192.168.29.42
ensi-serv-lic 86400 IN CNAME ensi-serveur-sima
nat-203 86400 IN A 193.50.193.203
pc314uistv0-08 86400 IN A 193.50.194.96
mnasri-chahida 86400 IN A 195.221.189.75
pc314uistv0-10 86400 IN A 193.50.194.98
pc108tistv3-09 86400 IN A 192.168.21.245
pc108tistv3-13 86400 IN A 192.168.21.237
pc-bangun-lamih 86400 IN A 192.168.6.69
pccompta12-immo 86400 IN A 193.50.195.168
mactaleblami 86400 IN A 192.168.28.238
chassisgest1 86400 IN A 192.168.20.88
3560-tgbt 86400 IN A 192.168.20.166
pcistv3-tech01 86400 IN A 192.168.5.7
gateway-hikob 86400 IN A 192.168.25.55
isivpc009-01 86400 IN A 194.167.248.112
cap2602-dream-etg 86400 IN A 192.168.29.190
pciutgmpadm01 86400 IN A 192.168.30.89
pciutgmpadm02 86400 IN A 192.168.30.13
tert-pc-davril 86400 IN A 172.16.122.191
tert-pc-315-02 86400 IN A 172.16.4.3
pc-lme-1 86400 IN A 192.168.22.24
copieur-frois-compta-1etg 86400 IN A 192.168.195.223
ensiame-iti-04-spare 86400 IN A 192.168.19.48
port-cravn-dsi 86400 IN A 192.168.195.6
t5600-c2s-1 86400 IN A 193.50.197.8
t5600-c2s-2 86400 IN A 192.168.2.233
tert-pc-315-06 86400 IN A 172.16.4.7
tert-pc-315-07 86400 IN A 172.16.4.8
imppers01 86400 IN A 192.168.195.36
imppers02 86400 IN A 192.168.195.249
pc-mandiau-1 86400 IN A 192.168.6.85
macbook-podcast9-rech 86400 IN A 192.168.33.19
orion 86400 IN A 193.50.192.6
jc-hornez 86400 IN A 195.221.189.55
tert-pc-315-09 86400 IN A 172.16.4.10
2960-poe-bu 86400 IN A 192.168.18.16
laptop-beatrice-old 86400 IN A 195.221.189.113
copieur-abelpujol3-fcfa 86400 IN A 192.168.5.252
ensi-iti-07 86400 IN A 193.50.197.93
aip-mmt2 86400 IN A 192.168.7.4
cap3702-carpeaux-coquet 86400 IN A 192.168.29.200
tert-port-icard 86400 IN A 172.16.2.80
copieur-mse-deve 86400 IN A 192.168.13.252
squid1vm 86400 IN A 193.50.193.83
tert-pc-315-15 86400 IN A 172.16.4.16
ap1200-bu-15 86400 IN A 192.168.29.15
ap1200-bu-17 86400 IN A 192.168.29.17
ap1200-bu-18 86400 IN A 192.168.29.18
ap1200-bu-20 86400 IN A 192.168.29.20
ap1200-bu-21 86400 IN A 192.168.29.21
rech-port-de-iutfrois 86400 IN A 192.168.195.202
2960-24-rech 86400 IN A 192.168.20.146
patervib10 86400 IN A 192.168.1.76
tert-pc-315-20 86400 IN A 172.16.4.21
switch-monthouy 86400 IN A 192.168.24.200
iutmph143 86400 IN A 195.221.189.143
fllashprof-e229 86400 IN A 195.221.190.112
port-dir-tmg 86400 IN A 192.168.4.208
pcsiosipetu10 86400 IN A 192.168.13.149
pcsiosipetu11 86400 IN A 192.168.13.150
pcsiosipetu12 86400 IN A 192.168.13.151
impcoulservpers 86400 IN A 192.168.195.252
sp-serveur-deb 86400 IN A 193.50.197.192
nat-250 86400 IN A 193.50.193.250
ensi-notes-bv 86400 IN A 192.168.25.54
ap1200-cambrai-81 86400 IN A 192.168.29.81
iutmph178 86400 IN A 195.221.189.178
reunion 86400 IN CNAME auth1vm
c3t-td2 86400 IN A 192.168.8.12
pc108tistv3-12-pxe 86400 IN A 192.168.17.243
macbook-heloir 86400 IN A 192.168.6.21
c3t-sn1 86400 IN A 192.168.8.96
copieur-carpeaux-1etg 86400 IN A 192.168.194.237
frajlprese 86400 IN A 192.168.6.178
port-cviviez 86400 IN A 192.168.194.18
sophie-mob 86400 IN A 195.221.189.202
cam-404-01 86400 IN A 192.168.10.64
cam-404-02 86400 IN A 192.168.10.65
cam-404-03 86400 IN A 192.168.10.66
cam-404-04 86400 IN A 192.168.10.67
cam-404-05 86400 IN A 192.168.10.68
cam-404-06 86400 IN A 192.168.10.69
cam-404-07 86400 IN A 192.168.10.70
cam-404-08 86400 IN A 192.168.10.71
cam-404-09 86400 IN A 192.168.10.72
pcsimon-wifi 86400 IN A 192.168.36.153
cam-404-15 86400 IN A 192.168.10.73
ensi-iti-29 86400 IN A 192.168.19.190
ap1130-fllash-e216 86400 IN A 192.168.29.128
imp-a3couleur-qlio 86400 IN A 192.168.3.14
imp-gym 86400 IN A 192.168.1.210
pc-geeii-01 86400 IN A 192.168.30.66
srv-av 86400 IN A 193.50.193.50
u201301019-wifi 86400 IN A 192.168.36.25
ap1130-tertiales-iae1 86400 IN A 192.168.29.174
ap1130-tertiales-iae2 86400 IN A 192.168.29.175
portistvfapret2 86400 IN A 192.168.5.56
portistvfapret3 86400 IN A 192.168.5.20
mac-vuc-1 86400 IN A 192.168.1.235
sp-jeeves 86400 IN A 192.168.2.5
melinea 86400 IN A 192.168.30.249
tert-pc-303-03 86400 IN A 172.16.2.210
lenovobangun-wifi 86400 IN A 192.168.36.17
lme-ljpm401dne 86400 IN A 192.168.8.5
raritan-adm 86400 IN A 192.168.20.153
c3t-vd2 86400 IN A 192.168.8.50
c3t-vd3 86400 IN A 192.168.8.8
jenlain 86400 IN A 193.50.192.100
pccamhaugou 86400 IN A 192.168.2.49
cisco-capwap-controller 86400 IN CNAME cwlc
hp8200-10 86400 IN A 192.168.22.54
pc010tistv3-01-pxe 86400 IN A 192.168.17.41
ensi-cam-svision-1 86400 IN A 192.168.19.106
ensi-dde-sadaune 86400 IN A 193.50.197.186
port-schiffler 86400 IN A 192.168.36.117
s5pc3 86400 IN A 192.168.23.153
pc008tistv3-01-pxe 86400 IN A 192.168.17.61
lexmark-bureau121 86400 IN A 192.168.4.48
polypheme 86400 IN A 192.168.38.248
mac-ldubar-wifi 86400 IN A 192.168.36.140
s5pc5 86400 IN A 192.168.23.155
neptunium 86400 IN A 195.221.189.38
yoshimasa-pc 86400 IN A 192.168.4.116
c3t-gestcom 86400 IN A 192.168.8.213
s5pc7 86400 IN A 192.168.23.157
pc007tistv3-01-pxe 86400 IN A 192.168.17.71
s5pc8 86400 IN A 192.168.23.158
me3eza 86400 IN A 192.168.22.5
s5pc9 86400 IN A 192.168.23.159
pc008tistv3-06-pxe 86400 IN A 192.168.17.66
fllash-poly 86400 IN A 195.221.190.34
ronzier-crl2-01 86400 IN A 172.16.3.40
pc006tistv3-01-pxe 86400 IN A 192.168.17.11
ensi-pb-jlmenet 86400 IN A 192.168.25.44
pc007tistv3-06-pxe 86400 IN A 192.168.17.76
tert-pc-403-01 86400 IN A 172.16.1.67
impecoledoct 86400 IN A 192.168.13.106
mozart-wifi 86400 IN A 192.168.28.31
pc006tistv3-06-pxe 86400 IN A 192.168.17.16
pc-al-rz-01 86400 IN A 195.221.187.134
pc-adubois-1 86400 IN A 192.168.2.95
pc-al-rz-03 86400 IN A 195.221.187.136
pc-al-rz-04 86400 IN A 195.221.187.137
pc-al-rz-05 86400 IN A 195.221.187.119
pcscfca-01 86400 IN A 192.168.12.19
pcscfca-02 86400 IN A 195.221.190.122
pcscfca-03 86400 IN A 195.221.190.123
ensi-pb-grondel-iumn 86400 IN A 192.168.22.120
pcscfca-05 86400 IN A 192.168.12.37
pcscfca-06 86400 IN A 192.168.12.91
pcscfca-07 86400 IN A 192.168.12.16
pcscfca-08 86400 IN A 192.168.12.15
pc007tistv3-12-pxe 86400 IN A 192.168.17.82
2950-tertiales-serveurs 86400 IN A 192.168.20.37
pcscfca-12 86400 IN A 192.168.12.27
pantheon-2 86400 IN A 194.167.248.91
pcscfca-14 86400 IN A 192.168.12.51
tert-pc-453-02 86400 IN A 172.16.122.142
pc006tistv3-12-pxe 86400 IN A 192.168.17.22
