ias 3600 IN A 124.133.254.45
nabic2010 3600 IN A 124.133.254.45
ipris 3600 IN A 211.64.95.156
shzx 3600 IN CNAME virtualhost
sonysrx 3600 IN A 202.194.68.202
eadclient 3600 IN A 202.194.72.2
iec 3600 IN CNAME virtualhost
ice2000 3600 IN A 202.194.68.41
idp 3600 IN CNAME webgate
grad 3600 IN CNAME virtualhost
jwgl10 3600 IN CNAME webgate
jwgl11 3600 IN CNAME webgate
jwgl12 3600 IN CNAME webgate
jwgl13 3600 IN CNAME webgate
jwgl14 3600 IN CNAME webgate
jwgl15 3600 IN CNAME webgate
ifp 3600 IN CNAME virtualhost
hqc 3600 IN CNAME webgate
ihe 3600 IN CNAME virtualhost
jpkc 3600 IN CNAME webgate
yuanban 3600 IN A 202.194.72.129
grid 3600 IN A 202.194.64.163
ias10 3600 IN A 124.133.254.45
MainBULD-GW 3600 IN A 202.194.70.252
eonline 3600 IN CNAME webgate
MailBox 3600 IN CNAME WWW
jjc 3600 IN CNAME virtualhost
ise 3600 IN CNAME webgate
jdems 3600 IN A 124.133.254.43
zyfl 3600 IN CNAME webgate
email 3600 IN A 124.133.254.38
auth 3600 IN CNAME virtualhost3
kfzx 3600 IN CNAME virtualhost
jxcgh 3600 IN CNAME virtualhost3
eadwww 3600 IN CNAME webgate
madlab2000 3600 IN A 202.194.68.185
webgate 3600 IN A 124.133.254.54
3600 IN A 124.133.254.55
news 3600 IN CNAME virtualhost
ecampus 3600 IN CNAME virtualhost3
rnbbs 3600 IN CNAME webgate
Moon 3600 IN A 202.194.71.8
shenji 3600 IN A 202.194.73.40
lwxy 3600 IN CNAME webgate
wyzx 3600 IN CNAME webgate
ljl 3600 IN A 202.194.72.207
xkonline 3600 IN A 211.64.92.4
lkcjcx 3600 IN CNAME virtualhost
sce-peixun 3600 IN A 211.144.146.61
jytghc 3600 IN A 124.133.254.46
Toshiba 3600 IN A 202.194.64.9
CompGW 3600 IN A 202.194.75.126
nic-liukun 3600 IN A 202.194.67.28
kls 3600 IN A 202.194.70.242
jwc 3600 IN CNAME webgate
wjfjs 3600 IN CNAME virtualhost3
thesis 3600 IN CNAME webgate
NIC1 3600 IN A 202.194.68.40
pop3 3600 IN A 124.133.254.38
cason 3600 IN A 124.133.254.45
Neural 3600 IN A 202.194.70.7
jccsys 3600 IN CNAME webgate
china-mar 3600 IN CNAME virtualhost
jzw 3600 IN CNAME virtualhost
