www.feca 3600 IN CNAME vhosting
lenguas 3600 IN A 200.23.125.56
archivohistoricoij 3600 IN A 200.23.125.12
www.cuaalgp 3600 IN CNAME vhosting
prueba 3600 IN A 200.23.125.48
alumnos 3600 IN CNAME hosting
iun 3600 IN A 200.23.125.36
www.congresoOE2012 3600 IN CNAME congresoOE2012
www.congresooe2014 3600 IN CNAME congresooe2014
www.cuaal 3600 IN CNAME portal
cecs 3600 IN A 200.23.125.48
iic 3600 IN CNAME vhosting
webconferencia 3600 IN A 200.23.125.94
www.curso 3600 IN CNAME curso
descargas 3600 IN A 192.168.10.20
callmanager 3600 IN A 172.17.8.10
correo2 3600 IN A 200.23.125.43
correo2 3600 IN TXT "v=spf1"
egresados 3600 IN CNAME hosting
stream2 3600 IN A 200.23.125.106
file 3600 IN A 200.23.125.48
ecq 3600 IN CNAME vhosting
www.postgradofca 3600 IN CNAME postgradofca
cuaalgp 3600 IN CNAME portal
www.matematicas 3600 IN CNAME matematicas
nasradio 3600 IN A 192.168.10.21
calendario 3600 IN CNAME ghs.google.com.
museo 3600 IN A 200.23.125.48
www.computacioncch 3600 IN CNAME vhosting
www.museo 3600 IN A 200.23.125.48
www.cuaal.examen 3600 IN CNAME cuaal.examen
scalidad 3600 IN A 200.23.125.36
www.video 3600 IN CNAME video
medicinagomez 3600 IN A 200.23.125.48
www.doctoradoencienciasgp 3600 IN CNAME vhosting
contraloria 3600 IN A 200.23.125.12
