nicolaeistudor 3600 IN CNAME s-win-web-1
zota 3600 IN CNAME s-win-web-1
formare.bizstart 3600 IN A 37.120.249.124
calendar.contatic 3600 IN CNAME ghs.GOOGLE.COM.
conferintastatistica 3600 IN CNAME s-win-web-1
apm 3600 IN CNAME s-lnx-web-7
stagii.economie 3600 IN CNAME s-lnx-web-7
nastase_pavel 3600 IN CNAME s-lnx-web-7
dmci 3600 IN A 193.226.34.89
idcfp 3600 IN CNAME s-win-web-1
www.invata 3600 IN A 193.226.34.89
indicevolatilitate 3600 IN CNAME s-win-web-1
administrativ 3600 IN A 193.226.34.89
cde 3600 IN CNAME s-lnx-web-7
ftp.brainstorming 3600 IN CNAME s-win-web-1
webstudent 3600 IN A 193.226.34.20
bpm 3600 IN CNAME s-lnx-web-7
dofin 3600 IN CNAME s-lnx-web-7
www.contab 3600 IN A 37.120.249.126
cib 3600 IN CNAME s-win-web-ie-3
googlee10a5b22679fe944.us 3600 IN CNAME GOOGLE.COM.
cig 3600 IN A 193.226.34.56
cig 3600 IN TXT "google-site-verification=RUqaBHTtbj_KvDAsnxLr6tJAIFZIq6jLUSiPWSVruTs"
cig 3600 IN MX 15 ASPMX.L.GOOGLE.COM.
3600 IN MX 25 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 25 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
confcamp 3600 IN CNAME s-lnx-web-7
console 3600 IN A 86.55.178.38
dmlg 3600 IN A 193.226.34.89
www.project-simur 3600 IN CNAME s-win-web-1
cercetare 3600 IN CNAME s-win-web-ie-1
bsu 3600 IN TXT "google-site-verification=5Dl-xNx_41YaKEsgZGXL7So5YYxKu4PH9C6EFAhuFXM"
bsu 3600 IN A 37.120.249.15
bsu 3600 IN MX 1 ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX4.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX5.GOOGLEMAIL.COM.
dce 3600 IN A 193.226.34.74
dce 3600 IN MX 20 s-mail-1
