dsa 60 IN A 197.253.6.200
faj 60 IN A 197.253.6.200
fsfoau 60 IN A 197.253.6.200
dss 60 IN A 197.253.6.200
pbmis 60 IN A 197.253.6.200
scholar 60 IN A 197.253.6.200
nacoss 60 IN A 197.253.6.200
bl 60 IN A 197.253.6.200
isel 60 IN A 197.253.6.200
fcs 60 IN A 197.253.6.200
ma 60 IN A 197.253.6.200
nams 60 IN A 197.253.6.200
fet 60 IN A 197.253.6.200
naos 60 IN A 197.253.6.200
naps 60 IN A 197.253.6.200
naoescs 60 IN A 197.253.6.200
eoy 60 IN A 197.253.6.200
qa 60 IN A 197.253.6.200
imasogie 60 IN A 197.253.6.200
onsu 60 IN A 197.253.6.200
erp 60 IN A 197.253.6.200
fis 60 IN A 197.253.6.200
manowar 60 IN A 197.253.6.200
chm 60 IN A 197.253.6.200
nccf 60 IN A 197.253.6.200
repository 60 IN A 197.253.6.217
su 60 IN A 197.253.6.233
etx 60 IN A 50.62.145.174
foa 60 IN A 197.253.6.200
daa 60 IN A 197.253.6.200
tacsfon 60 IN A 184.173.17.124
60 IN A 197.253.6.200
fop 60 IN A 197.253.6.200
fibsu 60 IN A 197.253.6.200
nimex 60 IN A 197.253.6.200
frl 60 IN A 197.253.6.200
fsf 60 IN A 197.253.6.200
intecu 60 IN A 197.253.6.200
internship 60 IN A 197.253.6.200
conference.cgs 60 IN A 197.253.6.200
ijebu 60 IN A 197.253.6.200
sociology 60 IN A 197.253.6.200
fss 60 IN A 197.253.6.200
fst 60 IN A 197.253.6.200
pghall 60 IN A 197.253.6.200
amses 60 IN A 197.253.6.200
assees 60 IN A 197.253.6.200
arts 60 IN A 197.253.6.200
gly 60 IN A 197.253.6.200
www.intconference 60 IN A 197.253.6.200
spael 60 IN A 197.253.6.200
ecomsa 60 IN A 197.253.6.200
taek 60 IN A 197.253.6.200
gpy 60 IN A 197.253.6.200
napsphl 60 IN A 197.253.6.200
gsf 60 IN A 197.253.6.200
casf 60 IN A 197.253.6.200
awovarsity.cics 60 IN A 197.253.6.233
vtls.library 60 IN CNAME vtls
ics 60 IN A 197.253.6.200
cccs 60 IN A 197.253.6.200
cacyofs 60 IN A 197.253.6.200
drpu 60 IN A 197.253.6.200
ccgh 60 IN A 197.253.6.200
ije 60 IN A 197.253.6.200
foasa 60 IN A 197.253.6.200
ijh 60 IN A 197.253.6.200
iis 60 IN A 66.11.135.196
comnet 60 IN A 197.253.6.200
ijs 60 IN A 197.253.6.200
ijt 60 IN A 208.109.181.40
nfcs 60 IN A 197.253.6.200
support 60 IN A 197.253.6.200
eticket 60 IN A 142.4.12.0
faasa 60 IN A 197.253.6.200
feedback 60 IN A 197.253.6.200
ifumsa 60 IN A 197.253.6.200
iph 60 IN A 197.253.6.200
ips 60 IN A 66.11.135.196
fart 60 IN A 197.253.6.200
anunsa 60 IN A 197.253.6.200
nesa 60 IN A 197.253.6.200
fibsa 60 IN A 197.253.6.200
dsss 60 IN A 197.253.6.200
payment.jedm 60 IN A 197.253.6.200
nakss 60 IN A 197.253.6.200
nsasa 60 IN A 197.253.6.200
pspsa 60 IN A 197.253.6.200
public 60 IN A 197.253.6.200
etx-ng 120 IN A 50.62.145.174
fsscf 60 IN A 197.253.6.200
pepsa 60 IN A 197.253.6.200
dentistry 60 IN A 197.253.6.200
registry 60 IN A 197.253.6.200
nafsts 60 IN A 197.253.6.200
lal 60 IN A 197.253.6.200
preprocessor.meteorology 60 IN A 197.253.6.200
nsche 60 IN A 197.253.6.200
aassnid 60 IN A 197.253.6.200
law 60 IN A 197.253.6.200
oautekconf 60 IN A 197.253.6.200
testing 60 IN A 74.220.195.31
naijaicons 60 IN A 197.253.6.200
helpdesk 60 IN A 197.253.6.200
ifegss 60 IN A 197.253.6.200
xroz 60 IN A 197.253.6.200
believersassembly 60 IN A 64.95.64.218
casor 60 IN A 197.253.6.200
elgasaoau 60 IN A 197.253.6.200
timsan 60 IN A 197.253.6.200
nunsaoau 60 IN A 197.253.6.200
education 60 IN A 197.253.6.200
assf 60 IN A 197.253.6.200
aicttra 60 IN A 197.253.6.200
map 60 IN A 197.253.6.212
mcf 60 IN A 197.253.6.200
naobs 60 IN A 197.253.6.200
impact 60 IN A 197.253.6.200
mee 60 IN A 197.253.6.200
emsa 60 IN A 197.253.6.200
webmail 60 IN A 197.253.6.200
planning 60 IN A 197.253.6.200
mic 60 IN A 197.253.6.200
maths 60 IN A 197.253.6.200
lacharla 60 IN A 197.253.6.200
fessu 60 IN A 197.253.6.200
physiology 60 IN A 197.253.6.200
foesu 60 IN A 197.253.6.200
napas 60 IN A 197.253.6.200
naiss 60 IN A 197.253.6.200
lccm 60 IN A 197.253.6.200
test 60 IN A 197.253.6.200
dspace 60 IN A 50.56.241.245
nhm 60 IN A 197.253.6.200
ieee 60 IN A 197.253.6.200
mse 60 IN A 197.253.6.200
linguistic 60 IN A 197.253.6.200
musan 60 IN A 197.253.6.200
iees 60 IN A 197.253.6.200
mth 60 IN A 197.253.6.200
oau 60 IN A 46.16.188.5
filsu 60 IN A 197.253.6.200
naoss 60 IN A 197.253.6.200
namlas 60 IN A 197.253.6.200
mus 60 IN A 197.253.6.200
primastrata 60 IN A 197.253.6.200
dma 60 IN A 197.253.6.200
ifelaw 60 IN A 197.253.6.200
kcoba 60 IN A 197.253.6.200
downloads 60 IN A 197.253.6.200
aliennation 60 IN A 197.253.6.200
music 60 IN A 197.253.6.200
cve 60 IN A 197.253.6.200
chri 60 IN A 197.253.6.200
ceynet 60 IN A 197.253.6.200
numrg 60 IN A 197.253.6.200
oauc 60 IN A 197.253.6.200
pbl 60 IN A 197.253.6.200
napss 60 IN A 197.253.6.200
lwfng 60 IN A 197.253.6.200
cgsps 60 IN A 197.253.6.200
advancement 60 IN A 197.253.6.200
records 60 IN A 197.253.6.200
aiesecife 60 IN A 197.253.6.200
accf 60 IN A 197.253.6.200
ope 60 IN A 1.1.1.1
epsa 60 IN A 197.253.6.200
edunet 60 IN A 197.253.6.200
magnacuria 60 IN A 197.253.6.200
phy 60 IN A 197.253.6.200
spirit 60 IN A 197.253.6.200
clasfon 60 IN A 197.253.6.200
pharmacy 60 IN A 197.253.6.200
naqss 60 IN A 197.253.6.200
sscaoau 60 IN A 197.253.6.200
nass 60 IN A 197.253.6.200
arial 60 IN A 197.253.6.200
laglosef 60 IN A 197.253.6.200
ssca 60 IN A 197.253.6.200
glogsfe 60 IN A 197.253.6.200
pol 60 IN A 197.253.6.200
ifutsa 60 IN A 197.253.6.200
olopa 60 IN A 197.253.6.199
nmgs 60 IN A 197.253.6.200
physics 60 IN A 197.253.6.200
events 60 IN A 197.253.6.200
naccp 60 IN A 197.253.6.200
fewsu 60 IN A 197.253.6.200
dart 60 IN A 197.253.6.200
rcf 60 IN A 197.253.6.200
psy 60 IN A 197.253.6.200
