wxgl.col 86400 IN AAAA 2001:250:2800:2::28
ynu9 86400 IN A 202.203.208.9
cdn 86400 IN A 202.203.208.28
cdn 86400 IN AAAA 2001:250:2800:2::28
photo 86400 IN CNAME ynu8
www.law 86400 IN A 202.203.208.28
www.law 86400 IN AAAA 2001:250:2800:2::28
www.jwc 86400 IN CNAME ynu11
www.2008.col 86400 IN CNAME ynu8
www.ydbg 86400 IN A 202.203.208.28
www.ydbg 86400 IN AAAA 2001:250:2800:2::28
www.swxsx 86400 IN CNAME www.ynusky
www.lib 86400 IN A 202.203.222.218
ngapi 86400 IN A 202.203.208.41
www.labcenter.sise 86400 IN A 202.203.40.133
ftp.sei 86400 IN CNAME sei
cnc 86400 IN CNAME web37
www.mba 86400 IN A 202.203.208.27
www.yangpu 86400 IN CNAME ynu8
cms 86400 IN A 113.55.0.226
www.selab 86400 IN CNAME sei
www.kxg 86400 IN A 202.203.208.28
www.kxg 86400 IN AAAA 2001:250:2800:2::28
yjx 86400 IN CNAME ynu8
www.kyc 86400 IN CNAME web37
www.ydjj 86400 IN A 202.203.208.28
www.ydjj 86400 IN AAAA 2001:250:2800:2::28
wsus 86400 IN CNAME windowsupdate
www.ydjx 86400 IN CNAME ynu66
www.spa 86400 IN A 202.203.208.28
www.spa 86400 IN AAAA 2001:250:2800:2::28
av 86400 IN CNAME web37
bt 86400 IN A 202.203.208.201
bt 86400 IN AAAA 2001:250:2800:8::201
dly 86400 IN A 202.203.208.56
dly 86400 IN AAAA 2001:250:2800:2::56
portal 86400 IN A 202.203.208.3
portal 86400 IN AAAA 2001:250:2800:2::11
www.mlb 86400 IN A 202.203.208.28
www.mlb 86400 IN AAAA 2001:250:2800:2::28
lyjjx.col 86400 IN A 202.203.208.28
lyjjx.col 86400 IN AAAA 2001:250:2800:2::28
fc 86400 IN A 202.203.209.4
www.survey 86400 IN CNAME ynu101
www.ltx 86400 IN A 202.203.208.28
www.ltx 86400 IN AAAA 2001:250:2800:2::28
sxfx.col 86400 IN A 202.203.208.28
sxfx.col 86400 IN AAAA 2001:250:2800:2::28
wydxh.news 86400 IN CNAME ynu8
fm 86400 IN A 202.203.209.6
fs 86400 IN A 202.203.209.6
apps 86400 IN A 202.203.208.28
apps 86400 IN AAAA 2001:250:2800:2::28
ic 86400 IN CNAME www.ic
rwkxgl.col 86400 IN A 202.203.208.28
rwkxgl.col 86400 IN AAAA 2001:250:2800:2::28
www.gjgxxy 86400 IN A 202.203.208.28
www.gjgxxy 86400 IN AAAA 2001:250:2800:2::28
faq 86400 IN A 202.203.208.28
faq 86400 IN AAAA 2001:250:2800:2::28
www.ydsz 86400 IN A 202.203.208.28
www.ydsz 86400 IN AAAA 2001:250:2800:2::28
bbs.sei 86400 IN CNAME sei
eol 86400 IN CNAME ynu8
www.winlab 86400 IN A 202.203.33.90
www.ydzc 86400 IN A 202.203.208.28
www.ydzc 86400 IN AAAA 2001:250:2800:2::28
www.env-eco 86400 IN A 202.203.208.28
www.env-eco 86400 IN AAAA 2001:250:2800:2::28
www.ydxy 86400 IN A 202.203.208.28
www.ydxy 86400 IN AAAA 2001:250:2800:2::28
www.caph 86400 IN CNAME ynu66
pt 86400 IN A 202.203.208.201
pt 86400 IN AAAA 2001:250:2800:8::201
www.ncre 86400 IN A 202.203.208.53
www.toupiao 86400 IN CNAME ynu101
www.eccce 86400 IN A 202.203.208.28
www.eccce 86400 IN AAAA 2001:250:2800:2::28
tv 86400 IN CNAME vod
www.gonghui 86400 IN A 202.203.208.28
www.gonghui 86400 IN AAAA 2001:250:2800:2::28
www.sise 86400 IN A 202.203.208.92
theol1 86400 IN A 202.203.208.51
www.tyxy 86400 IN A 202.203.208.28
www.tyxy 86400 IN AAAA 2001:250:2800:2::28
www.nxy 86400 IN A 202.203.208.28
www.nxy 86400 IN AAAA 2001:250:2800:2::28
www.lmcnr 86400 IN A 202.203.208.28
www.lmcnr 86400 IN AAAA 2001:250:2800:2::28
ftp 86400 IN CNAME web37
www.pgw 86400 IN CNAME ynu8
www.kjkfc 86400 IN A 202.203.208.28
www.kjkfc 86400 IN AAAA 2001:250:2800:2::28
www.yunwei 86400 IN A 202.203.33.80
www.yunwei 86400 IN AAAA 2001:250:2800:15::80
graduate.sei 86400 IN A 202.203.209.13
