@ 86400 IN SOA dns root 2015022501 28800 7200 604800 86400
@ 86400 IN NS dns
86400 IN NS nsa.ces.net.
@ 86400 IN MX 20 mx1
86400 IN MX 10 mx2
@ 86400 IN TXT "MS=ms49747165"
86400 IN TXT "z9XtVkk6F+RWhPP55j6EFwpBHxyulZw2e8ZC14ZeMYkpbSmi7ioQHTRsOlJdDxQdMJO9HtsUF3uPQIqG6vz/CQ=="
pc125-11 86400 IN A 195.113.125.11
pc125-12 86400 IN A 195.113.125.12
pc125-13 86400 IN A 195.113.125.13
pc125-14 86400 IN A 195.113.125.14
pc125-15 86400 IN A 195.113.125.15
pc125-16 86400 IN A 195.113.125.16
pc125-17 86400 IN A 195.113.125.17
pc125-18 86400 IN A 195.113.125.18
pc125-19 86400 IN A 195.113.125.19
pc125-21 86400 IN A 195.113.125.21
pc125-22 86400 IN A 195.113.125.22
pc125-23 86400 IN A 195.113.125.23
pc125-24 86400 IN A 195.113.125.24
pc125-25 86400 IN A 195.113.125.25
pc125-26 86400 IN A 195.113.125.26
pc125-27 86400 IN A 195.113.125.27
pc125-28 86400 IN A 195.113.125.28
pc125-29 86400 IN A 195.113.125.29
pc125-31 86400 IN A 195.113.125.31
pc125-32 86400 IN A 195.113.125.32
pc125-33 86400 IN A 195.113.125.33
pc125-34 86400 IN A 195.113.125.34
pc125-35 86400 IN A 195.113.125.35
pc125-36 86400 IN A 195.113.125.36
pc125-37 86400 IN A 195.113.125.37
pc125-38 86400 IN A 195.113.125.38
pc125-39 86400 IN A 195.113.125.39
pc125-41 86400 IN A 195.113.125.41
pc125-42 86400 IN A 195.113.125.42
pc125-43 86400 IN A 195.113.125.43
pc125-44 86400 IN A 195.113.125.44
pc125-45 86400 IN A 195.113.125.45
pc125-46 86400 IN A 195.113.125.46
pc125-47 86400 IN A 195.113.125.47
pc125-48 86400 IN A 195.113.125.48
pc125-49 86400 IN A 195.113.125.49
pc125-51 86400 IN A 195.113.125.51
pc125-52 86400 IN A 195.113.125.52
pc125-53 86400 IN A 195.113.125.53
pc125-54 86400 IN A 195.113.125.54
pc125-55 86400 IN A 195.113.125.55
pc125-56 86400 IN A 195.113.125.56
pc125-57 86400 IN A 195.113.125.57
pc125-58 86400 IN A 195.113.125.58
pc125-59 86400 IN A 195.113.125.59
pc125-61 86400 IN A 195.113.125.61
pc125-63 86400 IN A 195.113.125.63
pc125-64 86400 IN A 195.113.125.64
pc125-65 86400 IN A 195.113.125.65
pc125-66 86400 IN A 195.113.125.66
pc125-67 86400 IN A 195.113.125.67
pc125-68 86400 IN A 195.113.125.68
pc125-69 86400 IN A 195.113.125.69
pc125-71 86400 IN A 195.113.125.71
pc125-72 86400 IN A 195.113.125.72
pc125-73 86400 IN A 195.113.125.73
pc125-74 86400 IN A 195.113.125.74
pc125-75 86400 IN A 195.113.125.75
pc125-76 86400 IN A 195.113.125.76
pc125-77 86400 IN A 195.113.125.77
pc125-78 86400 IN A 195.113.125.78
pc125-80 86400 IN A 195.113.125.80
pc125-81 86400 IN A 195.113.125.81
pc125-82 86400 IN A 195.113.125.82
pc125-83 86400 IN A 195.113.125.83
pc125-84 86400 IN A 195.113.125.84
pc125-20 86400 IN A 195.113.125.20
pc125-86 86400 IN A 195.113.125.86
pc125-87 86400 IN A 195.113.125.87
pc125-88 86400 IN A 195.113.125.88
pc125-90 86400 IN A 195.113.125.90
pc125-91 86400 IN A 195.113.125.91
pc125-92 86400 IN A 195.113.125.92
pc125-93 86400 IN A 195.113.125.93
pc125-94 86400 IN A 195.113.125.94
pc125-95 86400 IN A 195.113.125.95
pc125-96 86400 IN A 195.113.125.96
pc125-97 86400 IN A 195.113.125.97
pc125-98 86400 IN A 195.113.125.98
pc125-99 86400 IN A 195.113.125.99
pc154-25 86400 IN A 78.128.154.25
pc158-201 86400 IN A 78.128.158.201
pc150-196 86400 IN A 78.128.150.196
pc159-140 86400 IN A 78.128.159.140
pc127-169 86400 IN A 195.113.127.169
pc168-109 86400 IN A 195.113.168.109
pc152-50 86400 IN A 78.128.152.50
pc158-40 86400 IN A 78.128.158.40
pc153-220 86400 IN A 78.128.153.220
pc168-111 86400 IN A 195.113.168.111
pc158-241 86400 IN A 78.128.158.241
pc127-179 86400 IN A 195.113.127.179
pc168-112 86400 IN A 195.113.168.112
pc154-204 86400 IN A 78.128.154.204
kopackova 86400 IN CNAME webak2
autodiscover 86400 IN CNAME posta
pc168-113 86400 IN A 195.113.168.113
pc159-250 86400 IN A 78.128.159.250
pc157-24 86400 IN A 78.128.157.24
pc127-190 86400 IN A 195.113.127.190
pc154-30 86400 IN A 78.128.154.30
pc127-191 86400 IN A 195.113.127.191
pc168-110 86400 IN A 195.113.168.110
pc127-192 86400 IN A 195.113.127.192
pc154-56 86400 IN A 78.128.154.56
pc152-21 86400 IN A 78.128.152.21
pc168-114 86400 IN A 195.113.168.114
pc127-203 86400 IN A 195.113.127.203
pc127-194 86400 IN A 195.113.127.194
pc127-195 86400 IN A 195.113.127.195
pc127-196 86400 IN A 195.113.127.196
pc156-19 86400 IN A 78.128.156.19
pc150-207 86400 IN A 78.128.150.207
pc127-197 86400 IN A 195.113.127.197
pc153-60 86400 IN A 78.128.153.60
pc154-134 86400 IN A 78.128.154.134
pc168-115 86400 IN A 195.113.168.115
pc127-198 86400 IN A 195.113.127.198
pc127-209 86400 IN A 195.113.127.209
pc150-171 86400 IN A 78.128.150.171
pc157-87 86400 IN A 78.128.157.87
pc152-39 86400 IN A 78.128.152.39
haile 86400 IN CNAME webak2
dokumenty.student 86400 IN CNAME ghs.google.com.
stag-web 86400 IN A 195.113.124.159
stag-web 86400 IN AAAA 2001:718:603:e195:113:124:128:159
pc168-116 86400 IN A 195.113.168.116
pc168-194 86400 IN A 195.113.168.194
pc159-78 86400 IN A 78.128.159.78
pc155-118 86400 IN A 78.128.155.118
fes-moodle 86400 IN A 195.113.124.182
fes-moodle 86400 IN AAAA 2001:718:603:e195:113:124:128:182
pc158-5 86400 IN A 78.128.158.5
pc127-217 86400 IN A 195.113.127.217
sefs01 86400 IN A 195.113.124.158
cas 86400 IN CNAME idp2
pc168-117 86400 IN A 195.113.168.117
pc127-220 86400 IN A 195.113.127.220
pc154-205 86400 IN A 78.128.154.205
pc150-137 86400 IN A 78.128.150.137
pc159-50 86400 IN A 78.128.159.50
pc151-40 86400 IN A 78.128.151.40
pc168-118 86400 IN A 195.113.168.118
pc168-210 86400 IN A 195.113.168.210
pc159-91 86400 IN A 78.128.159.91
primo 86400 IN A 77.78.101.250
fcht 86400 IN CNAME cms-proxy
pc154-35 86400 IN A 78.128.154.35
pc127-230 86400 IN A 195.113.127.230
pc168-119 86400 IN A 195.113.168.119
ects 86400 IN A 195.113.124.45
ects 86400 IN AAAA 2001:718:603:e195:113:124::45
dam 86400 IN A 195.113.124.191
dam 86400 IN AAAA 2001:718:603:e195:113:124:128:191
pc151-10 86400 IN A 78.128.151.10
pc151-11 86400 IN A 78.128.151.11
pc151-12 86400 IN A 78.128.151.12
pc151-13 86400 IN A 78.128.151.13
pc151-14 86400 IN A 78.128.151.14
pc151-15 86400 IN A 78.128.151.15
pc151-16 86400 IN A 78.128.151.16
pc150-208 86400 IN A 78.128.150.208
pc151-18 86400 IN A 78.128.151.18
pc151-19 86400 IN A 78.128.151.19
pc151-21 86400 IN A 78.128.151.21
pc151-22 86400 IN A 78.128.151.22
pc151-23 86400 IN A 78.128.151.23
pc150-205 86400 IN A 78.128.150.205
pc151-25 86400 IN A 78.128.151.25
pc151-26 86400 IN A 78.128.151.26
pc151-27 86400 IN A 78.128.151.27
pc151-28 86400 IN A 78.128.151.28
pc151-29 86400 IN A 78.128.151.29
pc151-31 86400 IN A 78.128.151.31
pc151-32 86400 IN A 78.128.151.32
pc151-33 86400 IN A 78.128.151.33
pc151-34 86400 IN A 78.128.151.34
pc151-35 86400 IN A 78.128.151.35
pc151-36 86400 IN A 78.128.151.36
pc151-37 86400 IN A 78.128.151.37
pc151-38 86400 IN A 78.128.151.38
cms 86400 IN CNAME cms-proxy
pc151-41 86400 IN A 78.128.151.41
pc151-42 86400 IN A 78.128.151.42
pc151-43 86400 IN A 78.128.151.43
pc151-44 86400 IN A 78.128.151.44
pc151-45 86400 IN A 78.128.151.45
pc127-240 86400 IN A 195.113.127.240
pc151-47 86400 IN A 78.128.151.47
pc151-48 86400 IN A 78.128.151.48
pc151-49 86400 IN A 78.128.151.49
pc151-51 86400 IN A 78.128.151.51
pc151-52 86400 IN A 78.128.151.52
pc151-53 86400 IN A 78.128.151.53
pc151-54 86400 IN A 78.128.151.54
pc151-55 86400 IN A 78.128.151.55
pc151-56 86400 IN A 78.128.151.56
pc151-57 86400 IN A 78.128.151.57
pc151-58 86400 IN A 78.128.151.58
pc151-59 86400 IN A 78.128.151.59
pc151-61 86400 IN A 78.128.151.61
pc151-62 86400 IN A 78.128.151.62
pc151-63 86400 IN A 78.128.151.63
pc151-64 86400 IN A 78.128.151.64
pc151-65 86400 IN A 78.128.151.65
pc151-66 86400 IN A 78.128.151.66
pc151-67 86400 IN A 78.128.151.67
pc151-68 86400 IN A 78.128.151.68
pc151-69 86400 IN A 78.128.151.69
pc151-71 86400 IN A 78.128.151.71
pc151-72 86400 IN A 78.128.151.72
pc151-73 86400 IN A 78.128.151.73
pc151-74 86400 IN A 78.128.151.74
pc151-75 86400 IN A 78.128.151.75
pc151-76 86400 IN A 78.128.151.76
pc151-77 86400 IN A 78.128.151.77
pc151-78 86400 IN A 78.128.151.78
pc151-79 86400 IN A 78.128.151.79
pc151-81 86400 IN A 78.128.151.81
pc151-82 86400 IN A 78.128.151.82
crm 86400 IN A 195.113.124.189
crm 86400 IN AAAA 2001:718:603:e195:113:124:128:189
pc151-84 86400 IN A 78.128.151.84
pc151-85 86400 IN A 78.128.151.85
pc151-86 86400 IN A 78.128.151.86
pc151-87 86400 IN A 78.128.151.87
pc151-88 86400 IN A 78.128.151.88
pc151-89 86400 IN A 78.128.151.89
pc151-91 86400 IN A 78.128.151.91
pc151-92 86400 IN A 78.128.151.92
pc151-93 86400 IN A 78.128.151.93
pc151-94 86400 IN A 78.128.151.94
pc151-95 86400 IN A 78.128.151.95
pc151-96 86400 IN A 78.128.151.96
pc151-97 86400 IN A 78.128.151.97
pc151-98 86400 IN A 78.128.151.98
pc151-99 86400 IN A 78.128.151.99
student 86400 IN A 195.113.124.10
student 86400 IN MX 10 ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX4.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX5.GOOGLEMAIL.COM.
lists 86400 IN CNAME dns
pc154-40 86400 IN A 78.128.154.40
pc152-51 86400 IN A 78.128.152.51
pc154-58 86400 IN A 78.128.154.58
pc148-105 86400 IN A 78.128.148.105
pc150-10 86400 IN A 78.128.150.10
edu 86400 IN A 195.113.124.176
edu 86400 IN AAAA 2001:718:603:e195:113:124:128:176
ct 86400 IN CNAME webak2
oozp 86400 IN CNAME webak2
pc150-11 86400 IN A 78.128.150.11
dns 86400 IN A 195.113.124.32
dns 86400 IN AAAA 2001:718:603:e195:113:124::32
pc150-12 86400 IN A 78.128.150.12
ff 86400 IN CNAME cms-proxy
fis-db 86400 IN A 195.113.125.150
