@ 86400 IN SOA bidai postmaster 2015032501 10800 1800 360000 86400
@ 86400 IN MX 10 bidai
@ 86400 IN NS bidai
b247 86400 IN A 202.209.189.247
b200 86400 IN A 202.209.189.200
b248 86400 IN A 202.209.189.248
b57 86400 IN A 202.209.189.57
b2 86400 IN A 202.209.189.2
b3 86400 IN A 202.209.189.3
b4 86400 IN A 202.209.189.4
b249 86400 IN A 202.209.189.249
b6 86400 IN A 202.209.189.6
b7 86400 IN A 202.209.189.7
b8 86400 IN A 202.209.189.8
b9 86400 IN A 202.209.189.9
b251 86400 IN A 202.209.189.251
b252 86400 IN A 202.209.189.252
b20 86400 IN A 202.209.189.20
b150 86400 IN A 202.209.189.150
www 86400 IN CNAME bidai
b24 86400 IN A 202.209.189.24
b204 86400 IN A 202.209.189.204
mailhost 86400 IN CNAME bidai
b78 86400 IN A 202.209.189.78
b60 86400 IN A 202.209.189.60
b253 86400 IN A 202.209.189.253
db 86400 IN CNAME b152
tamami 86400 IN A 202.209.189.97
b5 86400 IN A 202.209.189.5
b30 86400 IN A 202.209.189.30
dns 86400 IN CNAME bidai
b160 86400 IN A 202.209.189.160
b202 86400 IN A 202.209.189.202
b80 86400 IN A 202.209.189.80
