openproject 604800 IN A 200.54.121.74
poa 604800 IN A 200.54.121.13
www.lms 604800 IN A 200.54.121.72
www.empleos 604800 IN CNAME tbjdns.trabajando.com.
certificaciones-eg 604800 IN A 200.54.121.9
viaticos 604800 IN A 200.54.121.13
donsofanor 604800 IN MX 86 aspmx.l.google.com.
604800 IN MX 87 alt1.aspmx.l.google.com.
604800 IN MX 87 alt2.aspmx.l.google.com.
604800 IN MX 88 aspmx2.googlemail.com.
604800 IN MX 88 aspmx3.googlemail.com.
604800 IN MX 88 aspmx4.googlemail.com.
604800 IN MX 88 aspmx5.googlemail.com.
donsofanor 604800 IN A 200.54.121.24
www.kinesiologia 604800 IN A 200.54.121.18
www.valida-certificados 604800 IN A 200.54.121.9
evangelion 604800 IN A 200.54.121.148
www.evi 604800 IN A 200.54.121.149
www.magisterpadua 604800 IN A 200.54.121.8
www.xxviiisochipa 604800 IN A 200.54.121.133
www.magisterencienciassociales 604800 IN A 200.54.121.71
empresas 604800 IN MX 74 aspmx.l.google.com.
604800 IN MX 75 alt1.aspmx.l.google.com.
604800 IN MX 75 alt2.aspmx.l.google.com.
604800 IN MX 76 aspmx2.googlemail.com.
604800 IN MX 76 aspmx3.googlemail.com.
604800 IN MX 76 aspmx4.googlemail.com.
604800 IN MX 76 aspmx5.googlemail.com.
empresas 604800 IN A 200.54.121.24
postulaciones 604800 IN A 200.54.121.9
biblioteca 604800 IN A 200.54.121.16
cibertesis 604800 IN A 200.54.121.53
nodo 604800 IN A 200.54.121.4
www.investigacionesbiomedicas 604800 IN A 200.54.121.4
cert-alumni 604800 IN A 200.54.121.9
www.cada 604800 IN A 200.54.121.76
router 604800 IN A 200.54.121.1
mailspock 604800 IN A 200.54.121.131
aplicamemo 604800 IN A 200.54.121.14
labincom 604800 IN MX 77 aspmx.l.google.com.
604800 IN MX 78 alt1.aspmx.l.google.com.
604800 IN MX 78 alt2.aspmx.l.google.com.
604800 IN MX 79 aspmx2.googlemail.com.
604800 IN MX 79 aspmx3.googlemail.com.
604800 IN MX 79 aspmx4.googlemail.com.
604800 IN MX 79 aspmx5.googlemail.com.
labincom 604800 IN A 200.54.121.24
www.calidad 604800 IN A 200.54.121.21
