@ 8800 IN SOA ns01.minatec.inpg.fr. postmaster.minatec.inpg.fr. 2013121601 21600 3600 864000 8800
@ 8800 IN MX 5 smtp131.minatec.grenoble-inp.fr.
8800 IN MX 5 smtp132.minatec.grenoble-inp.fr.
segbpc75 8800 IN A 192.93.175.75
segbpc76 8800 IN A 192.93.175.76
segbpc78 8800 IN A 192.93.175.78
segbpc79 8800 IN A 192.93.175.79
bouleau 8800 IN A 192.93.178.149
triangle 8800 IN A 192.93.178.194
epictete 8800 IN A 192.93.177.70
isis 8800 IN A 192.93.179.163
etherg2 8800 IN A 192.93.179.3
lpcsppp27 8800 IN A 192.93.177.220
thesee 8800 IN A 192.93.177.113
xenophane 8800 IN A 192.93.177.106
spinoza 8800 IN A 192.93.179.65
lpcsppp29 8800 IN A 192.93.177.222
www.inpgjc 8800 IN CNAME etudiant.phelma.grenoble-inp.fr.
archimede 8800 IN A 192.93.177.129
modele 8800 IN A 192.93.178.170
stages 8800 IN CNAME www01.minatec.inpg.fr.
cerise2 8800 IN A 192.93.179.238
cerise3 8800 IN A 192.93.179.237
cerise4 8800 IN A 192.93.179.236
cerise5 8800 IN A 192.93.179.235
cerise7 8800 IN A 192.93.179.233
cerise8 8800 IN A 192.93.179.232
bureau 8800 IN A 192.93.179.7
model176 8800 IN A 192.93.176.210
model179 8800 IN A 192.93.179.210
empedocle 8800 IN A 192.93.177.68
ultrium 8800 IN A 192.93.176.63
diogene 8800 IN A 192.93.177.37
impsa3 8800 IN CNAME impr-m602p1ls001.phelma.grenoble-inp.fr.
bf 8800 IN A 192.93.179.12
poseidon 8800 IN A 192.93.179.244
diskboot 8800 IN A 192.93.177.171
caract10 8800 IN A 192.93.177.178
nfs01 8800 IN CNAME nfs1178.minatec.inpg.fr.
caract12 8800 IN A 192.93.177.180
caract13 8800 IN A 192.93.177.181
caract14 8800 IN A 192.93.177.182
caract15 8800 IN A 192.93.177.183
bus-scsi 8800 IN A 192.93.179.24
term300 8800 IN A 192.93.177.172
cerbere 8800 IN A 192.93.177.1
miro 8800 IN A 192.93.176.34
impsi1 8800 IN A 192.93.176.135
segcpc132 8800 IN A 192.93.175.132
segcpc133 8800 IN A 192.93.175.133
segcpc134 8800 IN A 192.93.175.134
segcpc135 8800 IN A 192.93.175.135
segcpc136 8800 IN A 192.93.175.136
segcpc138 8800 IN A 192.93.175.138
segcpc139 8800 IN A 192.93.175.139
segcpc141 8800 IN A 192.93.175.141
chacal 8800 IN A 192.93.178.55
8800 IN A 192.93.178.56
segcpc143 8800 IN A 192.93.175.143
segcpc144 8800 IN A 192.93.175.144
segcpc145 8800 IN A 192.93.175.145
segcpc147 8800 IN A 192.93.175.147
bibiis 8800 IN A 192.93.178.73
lpstages 8800 IN A 192.93.178.198
segcpc152 8800 IN A 192.93.175.152
segcpc153 8800 IN A 192.93.175.153
admission 8800 IN CNAME www01.minatec.inpg.fr.
segcpc155 8800 IN A 192.93.175.155
homere 8800 IN A 192.93.177.139
menippe 8800 IN A 192.93.177.138
caob2 8800 IN A 192.93.179.5
jmdp 8800 IN A 192.93.178.169
protagoras 8800 IN A 192.93.177.39
husserl 8800 IN A 192.93.179.72
help 8800 IN CNAME www01.minatec.inpg.fr.
leucippe 8800 IN A 192.93.177.102
pdc01 8800 IN A 192.93.178.8
demosthene 8800 IN A 192.93.177.45
damocles 8800 IN A 192.93.177.148
caoh2 8800 IN A 192.93.179.4
lpadma3 8800 IN A 192.93.178.133
lpinfor 8800 IN A 192.93.177.142
segcmc188 8800 IN A 192.93.175.188
tpnible 8800 IN A 192.93.179.97
segcmc189 8800 IN A 192.93.175.189
ulysse 8800 IN A 192.93.177.149
cisco 8800 IN A 147.173.216.1
lpat1a 8800 IN A 192.93.179.191
chrysippe 8800 IN A 192.93.177.107
segbpc70 8800 IN A 192.93.175.70
galien 8800 IN A 192.93.177.67
archive 8800 IN A 192.93.176.60
et-lin1 8800 IN A 192.93.179.26
et-lin2 8800 IN A 192.93.179.27
alemeon 8800 IN A 192.93.177.72
rsg1 8800 IN A 192.93.179.2
segbpc80 8800 IN A 192.93.175.80
dhcp178101 8800 IN A 192.93.178.101
dhcp178102 8800 IN A 192.93.178.102
dhcp178103 8800 IN A 192.93.178.103
dhcp178104 8800 IN A 192.93.178.104
lp2tp2a 8800 IN A 192.93.179.82
dhcp178106 8800 IN A 192.93.178.106
dhcp178107 8800 IN A 192.93.178.107
dhcp178108 8800 IN A 192.93.178.108
dhcp178109 8800 IN A 192.93.178.109
dhcp178111 8800 IN A 192.93.178.111
dhcp178113 8800 IN A 192.93.178.113
dhcp178116 8800 IN A 192.93.178.116
dhcp178117 8800 IN A 192.93.178.117
dhcp178120 8800 IN A 192.93.178.120
lynx 8800 IN A 192.93.178.53
dhcp178122 8800 IN A 192.93.178.122
dhcp178124 8800 IN A 192.93.178.124
dhcp178125 8800 IN A 192.93.178.125
dhcp178128 8800 IN A 192.93.178.128
linux01 8800 IN A 192.93.177.133
linux02 8800 IN A 192.93.177.134
linux03 8800 IN A 192.93.177.135
linux04 8800 IN A 192.93.177.143
linux05 8800 IN A 192.93.177.144
linux06 8800 IN A 192.93.177.145
test1 8800 IN A 192.93.179.19
test2 8800 IN A 192.93.179.20
aton 8800 IN A 192.93.179.167
impat2a 8800 IN A 192.93.179.249
segamc60 8800 IN A 192.93.175.60
lpbibli1 8800 IN A 192.93.178.136
ciscoairport 8800 IN A 192.93.176.161
dhcp178240 8800 IN A 192.93.178.240
dhcp178241 8800 IN A 192.93.178.241
dhcp178242 8800 IN A 192.93.178.242
segbpc121 8800 IN A 192.93.175.121
dhcp178244 8800 IN A 192.93.178.244
dhcp178245 8800 IN A 192.93.178.245
dhcp178246 8800 IN A 192.93.178.246
segbpc126 8800 IN A 192.93.175.126
segbpc127 8800 IN A 192.93.175.127
