@ 86400 IN SOA barsac inetadm 2015041420 28800 14400 1209600 86400
@ 86400 IN MX 10 sauternes
@ 86400 IN NS bxnms.u-bordeaux.fr.
dhcp-c200 86400 IN A 194.199.251.200
dhcp-c191 86400 IN A 194.199.251.191
dhcp-c192 86400 IN A 194.199.251.192
dhcp-c193 86400 IN A 194.199.251.193
dhcp-c194 86400 IN A 194.199.251.194
dhcp-c195 86400 IN A 194.199.251.195
dhcp-c196 86400 IN A 194.199.251.196
dhcp-c197 86400 IN A 194.199.251.197
dhcp-c198 86400 IN A 194.199.251.198
dhcp-c199 86400 IN A 194.199.251.199
dpap-ps 86400 IN A 194.199.250.42
ima-ps 86400 IN A 194.199.249.163
agcpt-printer 86400 IN A 194.199.250.24
86400 IN A 194.199.250.109
gdtr3-ps 86400 IN A 194.199.249.244
visio 86400 IN A 194.199.251.211
myde-ps 86400 IN A 194.199.250.196
dhcp-c90 86400 IN A 194.199.251.90
mcc-ps 86400 IN A 194.199.251.216
cdi14-ps 86400 IN A 194.199.250.182
gias76 86400 IN A 194.199.249.89
sj-ps 86400 IN A 194.199.250.138
fc4-ps 86400 IN A 194.199.249.130
xylofutur6 86400 IN A 194.199.251.226
dhcp-c94 86400 IN A 194.199.251.94
p1-s11-ps 86400 IN A 194.199.250.27
dpa3a5-ps 86400 IN A 194.199.250.230
pch-ps 86400 IN A 194.199.250.126
cocwi-srv-data 86400 IN A 194.199.249.3
magicinfo 86400 IN A 194.199.251.215
dhcp-c109 86400 IN A 194.199.251.109
dm-ps 86400 IN A 194.199.249.67
imas-ps 86400 IN A 194.199.249.92
sm07-ps 86400 IN A 194.199.250.72
fbt-ps 86400 IN A 194.199.250.243
mud-ps 86400 IN A 194.199.250.203
microbio13-ps 86400 IN A 194.199.249.191
dpa3a2-ps 86400 IN A 194.199.250.227
mlh-ps 86400 IN A 194.199.250.143
luchey-srv 86400 IN A 194.199.249.64
pedago-server 86400 IN A 194.199.250.253
cb2-ps 86400 IN A 194.199.250.130
www.aset 86400 IN CNAME www-iis
sm12-ps 86400 IN A 194.199.250.77
gdor-ps 86400 IN A 194.199.251.230
cdi20-ps 86400 IN A 194.199.251.232
microbio9-ps 86400 IN A 194.199.249.187
gea4-ps 86400 IN A 194.199.250.219
p01-pom2-ps 86400 IN A 194.199.250.52
dhcp-c119 86400 IN A 194.199.251.119
vitinov 86400 IN A 194.199.249.157
fc11-ps 86400 IN A 194.199.249.137
p05-s27-ps 86400 IN A 194.199.249.198
accueil 86400 IN A 194.199.250.205
p02-pom2-ps 86400 IN A 194.199.250.53
dpa3a14-ps 86400 IN A 194.199.250.239
giaf-lt 86400 IN A 194.199.250.189
vapeur-nas 86400 IN A 194.199.249.248
sm15-ps 86400 IN A 194.199.250.80
cdi2-ps 86400 IN A 194.199.250.135
lame4-srv 86400 IN A 194.199.249.20
ent 86400 IN A 194.199.249.32
eon 86400 IN A 194.199.249.124
