bse-diknas 38400 IN A 103.241.4.11
38400 IN A 103.241.4.43
fgulo 38400 IN A 103.241.4.44
podcast 38400 IN A 103.241.4.11
www.bkstm9 38400 IN CNAME bkstm9
streaming 38400 IN A 103.241.4.14
ftp 38400 IN A 103.241.4.36
sman5plg 38400 IN A 103.241.4.40
www.specimen 38400 IN CNAME specimen
freepbx 38400 IN A 103.241.4.49
www.fali 38400 IN CNAME fali
ermayanti 38400 IN A 103.241.4.44
perpustakaan 38400 IN CNAME sim.digilib
fun 38400 IN A 103.241.4.44
www.curhat 38400 IN CNAME curhat
sip1 38400 IN A 103.241.4.78
sip2 38400 IN A 103.241.4.38
sikd 38400 IN A 103.241.4.69
www.pur-tmm 38400 IN CNAME pur-tmm
fitrinova 38400 IN A 103.241.4.44
iatmism 38400 IN A 103.241.4.41
u-read 38400 IN A 103.241.4.44
www.plo 38400 IN CNAME plo
www.plt 38400 IN CNAME plt
www.pengadaan 38400 IN CNAME pengadaan
www.kissel 38400 IN CNAME kissel
www.plti 38400 IN CNAME plti
ns2.ilkom 38400 IN A 103.241.5.103
videografi 38400 IN A 103.241.4.71
sujianto 38400 IN A 103.241.4.101
gatot 38400 IN A 103.241.4.44
www.diahnatalisa 38400 IN CNAME diahnatalisa
amrifan 38400 IN A 103.241.4.44
ida 38400 IN A 103.241.4.44
indobarca 38400 IN A 103.241.4.41
www.passarellarossi 38400 IN CNAME passarellarossi
pengawas 38400 IN A 103.241.4.40
saparudin 38400 IN A 103.241.4.11
pustaka 38400 IN CNAME library
isnurhadi2020 38400 IN A 103.241.4.44
portal.pps 38400 IN A 103.241.4.47
www.elearning 38400 IN CNAME elearning
simkeu 38400 IN A 10.100.100.254
www.psw 38400 IN CNAME psw
bengtutuko 38400 IN CNAME bambangtutuko
suliet 38400 IN A 103.241.4.36
webmail.video 38400 IN A 103.241.4.9
lowland 38400 IN A 103.241.4.131
www.reg 38400 IN CNAME reg
adaan 38400 IN A 103.241.4.69
fali 38400 IN A 103.241.4.44
shelly 38400 IN A 103.241.4.44
www.portal 38400 IN CNAME portal
lpmgs 38400 IN A 103.241.4.40
syarifuddin 38400 IN A 103.241.4.44
www.anggrek 38400 IN CNAME anggrek
akuakultur 38400 IN A 103.241.4.40
www.wisuda 38400 IN CNAME wisuda
www.fmipa 38400 IN CNAME fmipa
ezproxy 38400 IN A 103.241.4.91
www.deris 38400 IN CNAME deris
wedhasmara 38400 IN A 103.241.4.44
andriyani 38400 IN A 103.241.4.44
hamonangan 38400 IN A 103.241.4.44
plti 38400 IN A 103.241.4.17
p2m 38400 IN A 103.241.4.71
barlin 38400 IN A 103.241.4.44
www.kmexpo 38400 IN CNAME kmexpo
fotografi 38400 IN A 103.241.4.43
38400 IN A 103.241.4.41
ejournal 38400 IN A 103.241.4.39
jit 38400 IN A 103.241.4.83
www.paqsi 38400 IN CNAME paqsi
aug17 38400 IN A 103.241.4.11
www.avoer2011 38400 IN CNAME avoer2011
akademik 38400 IN A 103.241.4.34
simkug 38400 IN A 103.241.4.45
www.hosting 38400 IN CNAME hosting
www.motogp 38400 IN CNAME motogp
www.indobarca 38400 IN CNAME indobarca
bniserv 38400 IN A 103.241.4.46
kemahasiswaan 38400 IN A 103.241.4.11
hasbi 38400 IN A 103.241.4.44
vegitya 38400 IN A 103.241.4.44
ilkom 38400 IN NS ns1.ilkom
38400 IN NS ns2.ilkom
www.avoer2012 38400 IN CNAME avoer2012
www.kslsolusi 38400 IN CNAME kslsolusi
un2013 38400 IN A 103.241.4.66
muizzuddin 38400 IN A 103.241.4.44
jpt 38400 IN A 103.241.4.39
akademik.pps 38400 IN A 103.241.4.47
www.spi 38400 IN CNAME spi
jtk 38400 IN A 103.241.4.83
www.paperless 38400 IN CNAME paperless
ldb 38400 IN A 103.241.4.71
leonita 38400 IN A 103.241.4.44
madjid 38400 IN A 103.241.4.44
sitinurmaini 38400 IN A 103.241.4.44
yulindasari 38400 IN A 103.241.4.44
www.comnets 38400 IN CNAME comnets
www.komunitas 38400 IN CNAME komunitas
pop3 38400 IN A 103.241.4.9
www.ejournal 38400 IN CNAME ejournal
www.sitiherlinda 38400 IN CNAME sitiherlinda
pramuka 38400 IN A 103.241.4.40
lo0 38400 IN A 103.241.4.251
www.akademik 38400 IN CNAME akademik
www.nurrahmat 38400 IN CNAME nurrahmat
hasni 38400 IN A 103.241.4.44
simarsip 38400 IN A 103.241.4.45
www.dosenfavorit 38400 IN CNAME dosenfavorit
sariman 38400 IN A 103.241.4.43
elvi 38400 IN A 103.241.4.44
mca 38400 IN A 103.241.4.41
marlina 38400 IN A 103.241.4.44
ns1.ilkom 38400 IN A 103.241.5.101
ktp 38400 IN A 103.241.4.44
heronsurbakti 38400 IN A 103.241.4.44
pmutu 38400 IN A 103.241.4.71
ibcseminar2014 38400 IN A 103.241.4.40
www.u-read 38400 IN CNAME u-read
swordfish 38400 IN A 103.241.5.11
hendra 38400 IN A 103.241.4.44
hariskurniawan 38400 IN A 103.241.4.44
hendri 38400 IN A 103.241.4.44
smtp 38400 IN A 103.241.4.9
lpm 38400 IN A 103.241.4.69
www.lb 38400 IN CNAME lb
warta 38400 IN A 103.241.4.41
candra 38400 IN A 103.241.4.44
budimulyono 38400 IN A 103.241.4.44
anitacamelia 38400 IN A 103.241.4.44
mkk 38400 IN A 103.241.4.11
www.helpdesk 38400 IN CNAME helpdesk
simpeg 38400 IN A 103.241.4.45
simaset 38400 IN A 103.241.4.45
www.usm 38400 IN CNAME usm
crisu-cupt2011 38400 IN A 103.241.4.41
najmah 38400 IN A 103.241.4.44
jinny 38400 IN A 103.241.4.41
www.hudaubaya 38400 IN CNAME hudaubaya
curhat 38400 IN A 103.241.4.16
dulmuluk 38400 IN A 103.241.4.71
video 38400 IN A 103.241.4.48
mpk 38400 IN A 103.241.4.71
elearning.hendra 38400 IN A 103.241.4.11
www.tv 38400 IN CNAME tv
www.un 38400 IN CNAME un
journal 38400 IN A 103.241.4.11
oaj 38400 IN A 103.241.4.14
download 38400 IN A 103.241.4.43
uread 38400 IN CNAME u-read
www.generic 38400 IN CNAME generic
forumkependidikan 38400 IN A 103.241.4.40
syamsuryadi 38400 IN A 103.241.4.43
ldap 38400 IN A 103.241.4.93
ns1 38400 IN A 103.241.4.2
ns2 38400 IN A 103.241.5.2
ns3 38400 IN A 203.130.206.180
abrardeanti 38400 IN A 103.241.4.44
firdaus 38400 IN A 103.241.4.44
sort 38400 IN A 103.241.4.42
noc 38400 IN A 103.241.4.42
phenomcms 38400 IN A 103.241.4.43
semnaslahansuboptimal 38400 IN A 103.241.4.40
heryanto 38400 IN A 103.241.4.44
gabi 38400 IN A 103.241.4.41
rusnawati 38400 IN A 103.241.4.44
oia 38400 IN A 103.241.4.80
pusrenbang 38400 IN A 103.241.4.41
mgm 38400 IN A 103.241.4.45
seamolec 38400 IN A 103.241.4.41
sayangan 38400 IN A 103.241.4.51
mobile 38400 IN A 103.241.4.41
smpn36plg 38400 IN A 103.241.4.40
voip 38400 IN A 103.241.4.44
www.gabi 38400 IN CNAME gabi
www.file 38400 IN CNAME file
pbx 38400 IN A 103.241.4.49
diahnatalisa 38400 IN A 103.241.4.43
wewe 38400 IN A 103.241.4.45
www.sutarno 38400 IN CNAME sutarno
pur-tmm 38400 IN A 103.241.4.71
www.download 38400 IN CNAME download
vpn2 38400 IN A 103.241.4.110
owncloud 38400 IN A 103.241.4.101
ghost 38400 IN A 103.241.4.40
www.samsuryadi 38400 IN CNAME samsuryadi
www.bambangtutuko 38400 IN CNAME bambangtutuko
plo 38400 IN A 103.241.4.51
adam 38400 IN A 103.241.4.44
beasiswa 38400 IN A 103.241.4.34
transportasi 38400 IN A 103.253.114.212
www.jlsuboptimal 38400 IN CNAME jlsuboptimal
kpa1 38400 IN A 103.241.5.90
kpa2 38400 IN A 103.241.5.91
www.seamolec 38400 IN CNAME seamolec
eddyibrahim 38400 IN A 103.241.4.44
desysiswanti 38400 IN A 103.241.4.44
unsripress 38400 IN A 103.241.4.40
radius 38400 IN A 103.241.4.110
yadiutama 38400 IN A 103.241.4.11
sman11plg 38400 IN A 103.241.4.40
al-anthony 38400 IN A 103.241.4.44
ukmbahasa 38400 IN A 103.241.4.41
file 38400 IN A 103.241.4.130
www.jaec 38400 IN CNAME jaec
santati 38400 IN A 103.241.4.44
ftp.fk 38400 IN A 103.241.5.46
cache1 38400 IN A 103.241.4.101
www.hendra 38400 IN CNAME hendra
psw 38400 IN A 103.241.4.71
aryulius 38400 IN A 103.241.4.43
www.mediapaud 38400 IN CNAME mediapaud
