sispflow 7200 IN A 86.36.70.29
qdl 7200 IN CNAME webserv
itsav 7200 IN A 172.17.4.22
emyvd 7200 IN CNAME myvd
fusionvd 7200 IN A 185.37.108.80
its 7200 IN CNAME active
oirp 7200 IN CNAME oirpapps
cse 7200 IN A 86.36.65.13
elisq 7200 IN CNAME webserv
itsms64bbapp2 7200 IN A 86.36.67.122
security 7200 IN CNAME active
ltw2 7200 IN A 86.36.66.152
mylibrary 7200 IN A 185.37.108.60
inet 7200 IN A 86.36.67.85
myvpn 7200 IN A 86.36.66.141
itsms74echoapp 7200 IN A 86.36.67.92
news 7200 IN CNAME active
itsvs66cm1 7200 IN A 86.36.72.92
lmspres1 7200 IN A 86.36.68.41
cedu 7200 IN CNAME www
tamu 7200 IN CNAME www9
blackboard 7200 IN A 80.231.135.170
av 7200 IN A 86.36.67.98
7200 IN A 86.36.67.99
std1 7200 IN CNAME oasis
cefp 7200 IN CNAME inet
handwriting 7200 IN CNAME active
localhost 7200 IN A 127.0.0.1
ltc1 7200 IN A 86.36.71.102
itsms71echoweb 7200 IN A 86.36.67.90
awic2012 7200 IN CNAME www9
weblibrary 7200 IN A 80.231.135.155
careers 7200 IN CNAME ebspirec
lmspres 7200 IN CNAME lmspres1
mx2-int 7200 IN A 86.36.67.19
myebs 7200 IN CNAME active
wajbati 7200 IN CNAME webserv
a.cse 7200 IN CNAME cse
